Indicator,S.No.,Parameters,Type,SubDistrict-_Solapur-Total [(A+B) or (C+D)],SubDistrict-_Solapur-Public [A],SubDistrict-_Solapur-Private [B],SubDistrict-_Solapur-Urban [C],SubDistrict-_Solapur-Rural [D],SubDistrict-Akkalkot-Total [(A+B) or (C+D)],SubDistrict-Akkalkot-Public [A],SubDistrict-Akkalkot-Private [B],SubDistrict-Akkalkot-Urban [C],SubDistrict-Akkalkot-Rural [D],SubDistrict-Barshi-Total [(A+B) or (C+D)],SubDistrict-Barshi-Public [A],SubDistrict-Barshi-Private [B],SubDistrict-Barshi-Urban [C],SubDistrict-Barshi-Rural [D],SubDistrict-Karmala-Total [(A+B) or (C+D)],SubDistrict-Karmala-Public [A],SubDistrict-Karmala-Private [B],SubDistrict-Karmala-Urban [C],SubDistrict-Karmala-Rural [D],SubDistrict-Madha-Total [(A+B) or (C+D)],SubDistrict-Madha-Public [A],SubDistrict-Madha-Private [B],SubDistrict-Madha-Urban [C],SubDistrict-Madha-Rural [D],SubDistrict-Malshiras-Total [(A+B) or (C+D)],SubDistrict-Malshiras-Public [A],SubDistrict-Malshiras-Private [B],SubDistrict-Malshiras-Urban [C],SubDistrict-Malshiras-Rural [D],SubDistrict-Mangalvedhe-Total [(A+B) or (C+D)],SubDistrict-Mangalvedhe-Public [A],SubDistrict-Mangalvedhe-Private [B],SubDistrict-Mangalvedhe-Urban [C],SubDistrict-Mangalvedhe-Rural [D],SubDistrict-Mohol-Total [(A+B) or (C+D)],SubDistrict-Mohol-Public [A],SubDistrict-Mohol-Private [B],SubDistrict-Mohol-Urban [C],SubDistrict-Mohol-Rural [D],SubDistrict-Pandharpur-Total [(A+B) or (C+D)],SubDistrict-Pandharpur-Public [A],SubDistrict-Pandharpur-Private [B],SubDistrict-Pandharpur-Urban [C],SubDistrict-Pandharpur-Rural [D],SubDistrict-Sangole-Total [(A+B) or (C+D)],SubDistrict-Sangole-Public [A],SubDistrict-Sangole-Private [B],SubDistrict-Sangole-Urban [C],SubDistrict-Sangole-Rural [D],SubDistrict-Solapur North-Total [(A+B) or (C+D)],SubDistrict-Solapur North-Public [A],SubDistrict-Solapur North-Private [B],SubDistrict-Solapur North-Urban [C],SubDistrict-Solapur North-Rural [D],SubDistrict-Solapur South-Total [(A+B) or (C+D)],SubDistrict-Solapur South-Public [A],SubDistrict-Solapur South-Private [B],SubDistrict-Solapur South-Urban [C],SubDistrict-Solapur South-Rural [D],SubDistrict-Solapur Urban-Total [(A+B) or (C+D)],SubDistrict-Solapur Urban-Public [A],SubDistrict-Solapur Urban-Private [B],SubDistrict-Solapur Urban-Urban [C],SubDistrict-Solapur Urban-Rural [D]
M1 [Ante Natal Care (ANC)],1.1,Total number of pregnant women registered for ANC,TOTAL,35332,35332,0,10629,24703,2790,2790,NA,328,2462,2619,2619,NA,684,1935,1809,1809,NA,198,1611,2447,2447,NA,94,2353,3613,3613,NA,NA,3613,1671,1671,NA,239,1432,2320,2320,NA,NA,2320,4132,4132,NA,1277,2855,2261,2261,NA,98,2163,1818,1818,0,3,1815,2144,2144,NA,NA,2144,7708,7708,NA,7708,NA
M1 [Ante Natal Care (ANC)],1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,24347,24347,0,4286,20061,2219,2219,NA,177,2042,2211,2211,NA,497,1714,1218,1218,NA,38,1180,1987,1987,NA,23,1964,3035,3035,NA,NA,3035,1150,1150,NA,74,1076,1711,1711,NA,NA,1711,2634,2634,NA,305,2329,1691,1691,NA,38,1653,1493,1493,0,0,1493,1864,1864,NA,NA,1864,3134,3134,NA,3134,NA
M1 [Ante Natal Care (ANC)],1.2.1,Number of PW given TT1,TOTAL,24015,23595,420,7717,16298,1685,1685,NA,202,1483,2015,2015,NA,475,1540,1238,1238,NA,60,1178,2025,2025,NA,92,1933,2508,2508,NA,NA,2508,981,981,NA,102,879,1410,1410,NA,NA,1410,2003,2003,NA,281,1722,1391,1391,NA,53,1338,1096,676,420,1,1095,1212,1212,NA,NA,1212,6451,6451,NA,6451,NA
M1 [Ante Natal Care (ANC)],1.2.2,Number of PW given TT2,TOTAL,20375,20048,327,6469,13906,977,977,NA,174,803,1648,1648,NA,350,1298,1066,1066,NA,32,1034,1798,1798,NA,43,1755,2130,2130,NA,NA,2130,788,788,NA,52,736,1196,1196,NA,NA,1196,1813,1813,NA,219,1594,1276,1276,NA,54,1222,1051,724,327,1,1050,1088,1088,NA,NA,1088,5544,5544,NA,5544,NA
M1 [Ante Natal Care (ANC)],1.2.3,Number of PW given TT Booster,TOTAL,10256,10139,117,1084,9172,1092,1092,NA,126,966,693,693,NA,140,553,503,503,NA,34,469,573,573,NA,31,542,1539,1539,NA,NA,1539,532,532,NA,34,498,815,815,NA,NA,815,1444,1444,NA,212,1232,877,877,NA,17,860,694,577,117,1,693,1005,1005,NA,NA,1005,489,489,NA,489,NA
M1 [Ante Natal Care (ANC)],1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,25698,25398,300,5503,20195,2769,2769,NA,322,2447,2141,2141,NA,523,1618,989,989,NA,50,939,1732,1732,NA,94,1638,3380,3380,NA,NA,3380,1379,1379,NA,155,1224,1908,1908,NA,NA,1908,3305,3305,NA,1145,2160,1751,1751,NA,105,1646,1613,1313,300,3,1610,1625,1625,NA,NA,1625,3106,3106,NA,3106,NA
M1 [Ante Natal Care (ANC)],1.2.5,Number of PW given 360 Calcium tablets,TOTAL,17692,17151,541,2545,15147,2688,2688,NA,256,2432,1260,1260,NA,580,680,972,972,NA,45,927,1179,1179,NA,94,1085,2322,2322,NA,NA,2322,778,778,NA,155,623,1048,1048,NA,NA,1048,3192,3192,NA,1181,2011,1138,1138,NA,68,1070,1729,1188,541,3,1726,1223,1223,NA,NA,1223,163,163,NA,163,NA
M1 [Ante Natal Care (ANC)],1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,7995,7974,21,361,7634,1305,1305,NA,129,1176,398,398,NA,0,398,260,260,NA,32,228,64,64,NA,0,64,1666,1666,NA,NA,1666,705,705,NA,0,705,797,797,NA,NA,797,1040,1040,NA,0,1040,686,686,NA,18,668,207,186,21,3,204,688,688,NA,NA,688,179,179,NA,179,NA
M1 [Ante Natal Care (ANC)],1.2.7,Number of PW received 4 or more ANC check ups,TOTAL,29170,27847,1323,5957,23213,2627,2627,NA,204,2423,2272,2272,NA,496,1776,1503,1503,NA,11,1492,2264,2264,NA,38,2226,3936,3936,NA,NA,3936,1369,1369,NA,28,1341,1978,1978,NA,NA,1978,2742,2742,NA,270,2472,1942,1942,NA,145,1797,2105,782,1323,3,2102,1670,1670,NA,NA,1670,4762,4762,NA,4762,NA
M1 [Ante Natal Care (ANC)],1.2.8,Number of PW given ANC Corticosteroids in Pre Term Labour,TOTAL,217,200,17,11,206,7,7,NA,7,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,185,185,NA,NA,185,4,4,NA,0,4,0,0,NA,NA,0,0,0,NA,0,0,4,4,NA,4,0,17,0,17,0,17,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.3.1,New cases of PW with hypertension detected,TOTAL,140,133,7,53,87,18,18,NA,8,10,14,14,NA,10,4,0,0,NA,0,0,0,0,NA,0,0,6,6,NA,NA,6,0,0,NA,0,0,21,21,NA,NA,21,36,36,NA,27,9,5,5,NA,0,5,9,2,7,NA,9,23,23,NA,NA,23,8,8,NA,8,NA
M1 [Ante Natal Care (ANC)],1.3.1.a,"Out of the new cases of PW with hypertension detected, cases managed at institution",TOTAL,50,49,1,14,36,11,11,NA,8,3,2,2,NA,0,2,0,0,NA,0,0,0,0,NA,0,0,3,3,NA,NA,3,0,0,NA,0,0,2,2,NA,NA,2,9,9,NA,0,9,0,0,NA,0,0,2,1,1,NA,2,15,15,NA,NA,15,6,6,NA,6,NA
M1 [Ante Natal Care (ANC)],1.3.2,Number of Eclampsia cases managed during delivery,TOTAL,55,55,0,4,51,3,3,NA,3,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,1,1,NA,1,0,0,0,NA,0,0,51,51,0,NA,51,0,0,NA,NA,0,0,0,NA,0,NA
