Indicator,S.No.,Parameters,Type,SubDistrict-_Solapur-Total [(A+B) or (C+D)],SubDistrict-_Solapur-Public [A],SubDistrict-_Solapur-Private [B],SubDistrict-_Solapur-Urban [C],SubDistrict-_Solapur-Rural [D],SubDistrict-Akkalkot-Total [(A+B) or (C+D)],SubDistrict-Akkalkot-Public [A],SubDistrict-Akkalkot-Private [B],SubDistrict-Akkalkot-Urban [C],SubDistrict-Akkalkot-Rural [D],SubDistrict-Barshi-Total [(A+B) or (C+D)],SubDistrict-Barshi-Public [A],SubDistrict-Barshi-Private [B],SubDistrict-Barshi-Urban [C],SubDistrict-Barshi-Rural [D],SubDistrict-Karmala-Total [(A+B) or (C+D)],SubDistrict-Karmala-Public [A],SubDistrict-Karmala-Private [B],SubDistrict-Karmala-Urban [C],SubDistrict-Karmala-Rural [D],SubDistrict-Madha-Total [(A+B) or (C+D)],SubDistrict-Madha-Public [A],SubDistrict-Madha-Private [B],SubDistrict-Madha-Urban [C],SubDistrict-Madha-Rural [D],SubDistrict-Malshiras-Total [(A+B) or (C+D)],SubDistrict-Malshiras-Public [A],SubDistrict-Malshiras-Private [B],SubDistrict-Malshiras-Urban [C],SubDistrict-Malshiras-Rural [D],SubDistrict-Mangalvedhe-Total [(A+B) or (C+D)],SubDistrict-Mangalvedhe-Public [A],SubDistrict-Mangalvedhe-Private [B],SubDistrict-Mangalvedhe-Urban [C],SubDistrict-Mangalvedhe-Rural [D],SubDistrict-Mohol-Total [(A+B) or (C+D)],SubDistrict-Mohol-Public [A],SubDistrict-Mohol-Private [B],SubDistrict-Mohol-Urban [C],SubDistrict-Mohol-Rural [D],SubDistrict-Pandharpur-Total [(A+B) or (C+D)],SubDistrict-Pandharpur-Public [A],SubDistrict-Pandharpur-Private [B],SubDistrict-Pandharpur-Urban [C],SubDistrict-Pandharpur-Rural [D],SubDistrict-Sangole-Total [(A+B) or (C+D)],SubDistrict-Sangole-Public [A],SubDistrict-Sangole-Private [B],SubDistrict-Sangole-Urban [C],SubDistrict-Sangole-Rural [D],SubDistrict-Solapur North-Total [(A+B) or (C+D)],SubDistrict-Solapur North-Public [A],SubDistrict-Solapur North-Private [B],SubDistrict-Solapur North-Urban [C],SubDistrict-Solapur North-Rural [D],SubDistrict-Solapur South-Total [(A+B) or (C+D)],SubDistrict-Solapur South-Public [A],SubDistrict-Solapur South-Private [B],SubDistrict-Solapur South-Urban [C],SubDistrict-Solapur South-Rural [D],SubDistrict-Solapur Urban-Total [(A+B) or (C+D)],SubDistrict-Solapur Urban-Public [A],SubDistrict-Solapur Urban-Private [B],SubDistrict-Solapur Urban-Urban [C],SubDistrict-Solapur Urban-Rural [D]
M1 [Ante Natal Care (ANC)],1.1,Total number of pregnant women registered for ANC,TOTAL,65543,65543,0,19397,46146,4809,4809,NA,600,4209,4700,4700,NA,1297,3403,3190,3190,NA,377,2813,4425,4425,NA,171,4254,6642,6642,NA,NA,6642,2830,2830,NA,393,2437,4024,4024,NA,NA,4024,7489,7489,NA,2442,5047,3961,3961,NA,178,3783,5825,5825,0,18,5807,3727,3727,NA,NA,3727,13921,13921,NA,13921,NA
M1 [Ante Natal Care (ANC)],1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,44978,44978,0,7417,37561,3830,3830,NA,316,3514,3994,3994,NA,944,3050,2145,2145,NA,83,2062,3595,3595,NA,47,3548,5480,5480,NA,NA,5480,2065,2065,NA,125,1940,3024,3024,NA,NA,3024,4509,4509,NA,426,4083,2980,2980,NA,65,2915,4663,4663,0,4,4659,3286,3286,NA,NA,3286,5407,5407,NA,5407,NA
M1 [Ante Natal Care (ANC)],1.2.1,Number of PW given TT1,TOTAL,43356,42441,915,13821,29535,2922,2922,NA,343,2579,3620,3620,NA,920,2700,2227,2227,NA,117,2110,3686,3686,NA,169,3517,4626,4626,NA,NA,4626,1664,1664,NA,161,1503,2548,2548,NA,NA,2548,3596,3596,NA,490,3106,2399,2399,NA,86,2313,2489,1574,915,12,2477,2056,2056,NA,NA,2056,11523,11523,NA,11523,NA
M1 [Ante Natal Care (ANC)],1.2.2,Number of PW given TT2,TOTAL,36423,35771,652,11625,24798,1588,1588,NA,310,1278,3041,3041,NA,700,2341,1933,1933,NA,81,1852,3247,3247,NA,88,3159,3848,3848,NA,NA,3848,1369,1369,NA,91,1278,2169,2169,NA,NA,2169,3301,3301,NA,557,2744,2230,2230,NA,93,2137,2112,1460,652,3,2109,1883,1883,NA,NA,1883,9702,9702,NA,9702,NA
M1 [Ante Natal Care (ANC)],1.2.3,Number of PW given TT Booster,TOTAL,19013,18830,183,2202,16811,1859,1859,NA,229,1630,1261,1261,NA,289,972,869,869,NA,69,800,1033,1033,NA,57,976,2860,2860,NA,NA,2860,963,963,NA,57,906,1394,1394,NA,NA,1394,2522,2522,NA,326,2196,1574,1574,NA,29,1545,1798,1615,183,1,1797,1735,1735,NA,NA,1735,1145,1145,NA,1145,NA
M1 [Ante Natal Care (ANC)],1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,50488,50025,463,11377,39111,4754,4754,NA,560,4194,3878,3878,NA,1110,2768,1886,1886,NA,168,1718,3313,3313,NA,171,3142,6466,6466,NA,NA,6466,2420,2420,NA,352,2068,3415,3415,NA,NA,3415,6401,6401,NA,2189,4212,3033,3033,NA,185,2848,5386,4923,463,16,5370,2910,2910,NA,NA,2910,6626,6626,NA,6626,NA
M1 [Ante Natal Care (ANC)],1.2.5,Number of PW given 360 Calcium tablets,TOTAL,34600,33896,704,5509,29091,4673,4673,NA,494,4179,2288,2288,NA,1167,1121,1762,1762,NA,163,1599,2128,2128,NA,171,1957,4504,4504,NA,NA,4504,1520,1520,NA,352,1168,1892,1892,NA,NA,1892,6229,6229,NA,2346,3883,1980,1980,NA,148,1832,4705,4001,704,16,4689,2267,2267,NA,NA,2267,652,652,NA,652,NA
M1 [Ante Natal Care (ANC)],1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,15140,15069,71,1149,13991,2727,2727,NA,247,2480,704,704,NA,0,704,509,509,NA,108,401,155,155,NA,0,155,3035,3035,NA,NA,3035,1141,1141,NA,0,1141,1415,1415,NA,NA,1415,1868,1868,NA,0,1868,1099,1099,NA,35,1064,447,376,71,3,444,1284,1284,NA,NA,1284,756,756,NA,756,NA
M1 [Ante Natal Care (ANC)],1.2.7,Number of PW received 4 or more ANC check ups,TOTAL,52469,49790,2679,10303,42166,4596,4596,NA,426,4170,4066,4066,NA,939,3127,2623,2623,NA,22,2601,4031,4031,NA,76,3955,7365,7365,NA,NA,7365,2159,2159,NA,53,2106,3509,3509,NA,NA,3509,4939,4939,NA,337,4602,3384,3384,NA,223,3161,4654,1975,2679,3,4651,2919,2919,NA,NA,2919,8224,8224,NA,8224,NA
M1 [Ante Natal Care (ANC)],1.2.8,Number of PW given ANC Corticosteroids in Pre Term Labour,TOTAL,407,385,22,19,388,15,15,NA,15,0,3,3,NA,0,3,5,5,NA,0,5,3,3,NA,0,3,344,344,NA,NA,344,6,6,NA,0,6,5,5,NA,NA,5,0,0,NA,0,0,4,4,NA,4,0,22,0,22,0,22,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.3.1,New cases of PW with hypertension detected,TOTAL,266,241,25,108,158,37,37,NA,18,19,26,26,NA,20,6,1,1,NA,0,1,0,0,NA,0,0,17,17,NA,NA,17,0,0,NA,0,0,25,25,NA,NA,25,66,66,NA,47,19,10,10,NA,1,9,27,2,25,0,27,35,35,NA,NA,35,22,22,NA,22,NA
M1 [Ante Natal Care (ANC)],1.3.1.a,"Out of the new cases of PW with hypertension detected, cases managed at institution",TOTAL,102,96,6,25,77,24,24,NA,12,12,3,3,NA,0,3,1,1,NA,0,1,0,0,NA,0,0,9,9,NA,NA,9,0,0,NA,0,0,3,3,NA,NA,3,19,19,NA,0,19,1,1,NA,1,0,7,1,6,0,7,23,23,NA,NA,23,12,12,NA,12,NA
M1 [Ante Natal Care (ANC)],1.3.2,Number of Eclampsia cases managed during delivery,TOTAL,294,294,0,5,289,3,3,NA,3,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,1,1,NA,NA,1,2,2,NA,2,0,0,0,NA,0,0,288,288,0,0,288,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.4.1,Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,TOTAL,43815,43462,353,10996,32819,4486,4486,NA,387,4099,3110,3110,NA,235,2875,2839,2839,NA,0,2839,323,323,NA,0,323,5978,5978,NA,NA,5978,2565,2565,NA,63,2502,3012,3012,NA,NA,3012,4620,4620,NA,1761,2859,3213,3213,NA,221,2992,2668,2315,353,10,2658,2682,2682,NA,NA,2682,8319,8319,NA,8319,NA
M1 [Ante Natal Care (ANC)],1.4.2,Number of PW having Hb level<11 (tested cases)(7.1 to 10.9),TOTAL,43950,43351,599,12683,31267,3116,3116,NA,782,2334,4649,4649,NA,1889,2760,2287,2287,NA,139,2148,1956,1956,NA,0,1956,5990,5990,NA,NA,5990,2347,2347,NA,165,2182,3098,3098,NA,NA,3098,5134,5134,NA,1364,3770,2683,2683,NA,219,2464,2024,1425,599,12,2012,2553,2553,NA,NA,2553,8113,8113,NA,8113,NA
M1 [Ante Natal Care (ANC)],1.4.3,Number of PW having Hb level<7 (tested cases),TOTAL,1332,1255,77,253,1079,158,158,NA,9,149,81,81,NA,63,18,21,21,NA,0,21,4,4,NA,0,4,201,201,NA,NA,201,135,135,NA,25,110,155,155,NA,NA,155,166,166,NA,94,72,49,49,NA,4,45,111,34,77,0,111,193,193,NA,NA,193,58,58,NA,58,NA
M1 [Ante Natal Care (ANC)],1.4.4,Number of PW having severe anaemia (Hb<7) treated,TOTAL,516,487,29,179,337,9,9,NA,9,0,38,38,NA,38,0,3,3,NA,0,3,4,4,NA,0,4,76,76,NA,NA,76,6,6,NA,0,6,9,9,NA,NA,9,83,83,NA,82,1,4,4,NA,4,0,42,13,29,0,42,196,196,NA,NA,196,46,46,NA,46,NA
M1 [Ante Natal Care (ANC)],1.5.1,Number of PW tested for blood sugar using OGTT (Oral Glucose Tolerance Test),TOTAL,561,552,9,348,213,0,0,NA,0,0,33,33,NA,0,33,123,123,NA,123,0,0,0,NA,0,0,0,0,NA,NA,0,34,34,NA,0,34,0,0,NA,NA,0,0,0,NA,0,0,260,260,NA,225,35,108,99,9,0,108,3,3,NA,NA,3,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.5.2,Number of PW tested positive for GDM,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.5.3,Number of PW given insulin out of total tested positive for GDM,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.1.a,Number of PW tested using POC test for Syphilis,TOTAL,26,26,NA,NA,26,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,6,6,NA,NA,6,0,0,NA,NA,0,10,10,NA,NA,10,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,10,10,NA,NA,10,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.1.b,"Out of above, number of PW found sero positive for syphilis",TOTAL,1,1,NA,NA,1,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,1,1,NA,NA,1,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.2.a,Number of pregnant women tested for Syphilis,TOTAL,3342,3342,0,849,2493,0,0,NA,0,0,0,0,NA,0,0,640,640,NA,640,0,0,0,NA,0,0,1950,1950,NA,NA,1950,63,63,NA,63,0,493,493,NA,NA,493,0,0,NA,0,0,146,146,NA,146,0,50,50,0,0,50,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.2.b,Number of pregnant women tested found sero positive for Syphilis,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.2.c,Number of syphilis positive pregnant women treated for Syphilis,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.2.d,Number of babies diagnosed with Congenital Syphilis,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.2.e,Number of babies treated for congenital Syphilis,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA
M2 [Deliveries],2.1.1.a,Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM),TOTAL,38,38,NA,14,24,0,0,NA,NA,0,3,3,NA,NA,3,0,0,NA,NA,0,0,0,NA,NA,0,4,4,NA,NA,4,5,5,NA,NA,5,6,6,NA,NA,6,0,0,NA,NA,0,3,3,NA,NA,3,0,0,NA,0,0,3,3,NA,NA,3,14,14,NA,14,NA
M2 [Deliveries],2.1.1.b,Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),TOTAL,23,23,NA,11,12,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,4,4,NA,NA,4,0,0,NA,NA,0,4,4,NA,NA,4,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,0,0,4,4,NA,NA,4,11,11,NA,11,NA
M2 [Deliveries],2.1.2,Number of PW given Tablet Misoprostol during home delivery,TOTAL,1,1,NA,1,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,1,1,NA,1,NA
M2 [Deliveries],2.1.3,Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,TOTAL,34,34,NA,7,27,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,20,20,NA,NA,20,7,7,NA,NA,7,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,7,7,NA,7,NA
M2 [Deliveries],2.2,Number of Institutional Deliveries conducted (Including C-Sections),TOTAL,56036,24589,31447,4695,51341,2300,2300,NA,903,1397,1117,1117,NA,484,633,979,979,NA,494,485,815,815,NA,65,750,1580,1580,NA,NA,1580,1065,1065,NA,120,945,988,988,NA,NA,988,2314,2314,NA,953,1361,1872,1872,NA,113,1759,39882,8435,31447,0,39882,1561,1561,NA,NA,1561,1563,1563,NA,1563,NA
M2 [Deliveries],2.2.1,Out of total institutional deliveries number of women discharged within 48 hours of delivery,TOTAL,10522,7125,3397,1092,9430,1567,1567,NA,170,1397,263,263,NA,56,207,566,566,NA,230,336,367,367,NA,0,367,528,528,NA,NA,528,497,497,NA,0,497,625,625,NA,NA,625,251,251,NA,0,251,776,776,NA,93,683,3397,0,3397,0,3397,1142,1142,NA,NA,1142,543,543,NA,543,NA
M2 [Deliveries],2.2.2,Number of newborns received 6 HBNC  visits after Institutional Delivery,TOTAL,9109,9109,NA,606,8503,1273,1273,NA,0,1273,315,315,NA,0,315,386,386,NA,0,386,572,572,NA,0,572,872,872,NA,NA,872,663,663,NA,0,663,887,887,NA,NA,887,1141,1141,NA,0,1141,995,995,NA,0,995,249,249,NA,0,249,1150,1150,NA,NA,1150,606,606,NA,606,NA
M3 [Number of Caesarean (C-Section) deliveries],3.1,Total C -Section deliveries performed,TOTAL,12878,2961,9917,469,12409,0,0,NA,0,0,12,12,NA,12,0,0,0,NA,0,0,0,0,NA,0,0,67,67,NA,NA,67,0,0,NA,0,0,0,0,NA,NA,0,349,349,NA,345,4,0,0,NA,0,0,12338,2421,9917,0,12338,0,0,NA,NA,0,112,112,NA,112,NA
M3 [Number of Caesarean (C-Section) deliveries],3.1.1,"C-sections, performed at night (8 PM- 8 AM)",TOTAL,1859,622,1237,29,1830,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,7,7,NA,NA,7,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,1823,586,1237,0,1823,0,0,NA,NA,0,29,29,NA,29,NA
M4 [Pregnancy outcome & details of new-born],4.1.1.a,Live Birth - Male,TOTAL,28403,12732,15671,2420,25983,1170,1170,NA,456,714,585,585,NA,260,325,527,527,NA,258,269,445,445,NA,33,412,852,852,NA,NA,852,552,552,NA,65,487,519,519,NA,NA,519,1218,1218,NA,482,736,994,994,NA,59,935,19906,4235,15671,0,19906,828,828,NA,NA,828,807,807,NA,807,NA
M4 [Pregnancy outcome & details of new-born],4.1.1.b,Live Birth - Female,TOTAL,27459,11683,15776,2269,25190,1107,1107,NA,436,671,526,526,NA,222,304,448,448,NA,234,214,368,368,NA,31,337,733,733,NA,NA,733,532,532,NA,54,478,484,484,NA,NA,484,1085,1085,NA,461,624,879,879,NA,54,825,19786,4010,15776,0,19786,734,734,NA,NA,734,777,777,NA,777,NA
