Indicator,S.No.,Parameters,Type,SubDistrict-_Solapur-Total [(A+B) or (C+D)],SubDistrict-_Solapur-Public [A],SubDistrict-_Solapur-Private [B],SubDistrict-_Solapur-Urban [C],SubDistrict-_Solapur-Rural [D],SubDistrict-Akkalkot-Total [(A+B) or (C+D)],SubDistrict-Akkalkot-Public [A],SubDistrict-Akkalkot-Private [B],SubDistrict-Akkalkot-Urban [C],SubDistrict-Akkalkot-Rural [D],SubDistrict-Barshi-Total [(A+B) or (C+D)],SubDistrict-Barshi-Public [A],SubDistrict-Barshi-Private [B],SubDistrict-Barshi-Urban [C],SubDistrict-Barshi-Rural [D],SubDistrict-Karmala-Total [(A+B) or (C+D)],SubDistrict-Karmala-Public [A],SubDistrict-Karmala-Private [B],SubDistrict-Karmala-Urban [C],SubDistrict-Karmala-Rural [D],SubDistrict-Madha-Total [(A+B) or (C+D)],SubDistrict-Madha-Public [A],SubDistrict-Madha-Private [B],SubDistrict-Madha-Urban [C],SubDistrict-Madha-Rural [D],SubDistrict-Malshiras-Total [(A+B) or (C+D)],SubDistrict-Malshiras-Public [A],SubDistrict-Malshiras-Private [B],SubDistrict-Malshiras-Urban [C],SubDistrict-Malshiras-Rural [D],SubDistrict-Mangalvedhe-Total [(A+B) or (C+D)],SubDistrict-Mangalvedhe-Public [A],SubDistrict-Mangalvedhe-Private [B],SubDistrict-Mangalvedhe-Urban [C],SubDistrict-Mangalvedhe-Rural [D],SubDistrict-Mohol-Total [(A+B) or (C+D)],SubDistrict-Mohol-Public [A],SubDistrict-Mohol-Private [B],SubDistrict-Mohol-Urban [C],SubDistrict-Mohol-Rural [D],SubDistrict-Pandharpur-Total [(A+B) or (C+D)],SubDistrict-Pandharpur-Public [A],SubDistrict-Pandharpur-Private [B],SubDistrict-Pandharpur-Urban [C],SubDistrict-Pandharpur-Rural [D],SubDistrict-Sangole-Total [(A+B) or (C+D)],SubDistrict-Sangole-Public [A],SubDistrict-Sangole-Private [B],SubDistrict-Sangole-Urban [C],SubDistrict-Sangole-Rural [D],SubDistrict-Solapur North-Total [(A+B) or (C+D)],SubDistrict-Solapur North-Public [A],SubDistrict-Solapur North-Private [B],SubDistrict-Solapur North-Urban [C],SubDistrict-Solapur North-Rural [D],SubDistrict-Solapur South-Total [(A+B) or (C+D)],SubDistrict-Solapur South-Public [A],SubDistrict-Solapur South-Private [B],SubDistrict-Solapur South-Urban [C],SubDistrict-Solapur South-Rural [D],SubDistrict-Solapur Urban-Total [(A+B) or (C+D)],SubDistrict-Solapur Urban-Public [A],SubDistrict-Solapur Urban-Private [B],SubDistrict-Solapur Urban-Urban [C],SubDistrict-Solapur Urban-Rural [D]
M1 [Ante Natal Care (ANC)],1.1,Total number of pregnant women registered for ANC,TOTAL,80138,80138,0,23461,56677,5880,5880,NA,760,5120,5788,5788,NA,1606,4182,3890,3890,NA,463,3427,5478,5478,NA,201,5277,8011,8011,NA,NA,8011,3452,3452,NA,469,2983,4878,4878,NA,NA,4878,8807,8807,NA,2763,6044,4891,4891,NA,211,4680,7480,7480,0,26,7454,4621,4621,NA,NA,4621,16962,16962,NA,16962,NA
M1 [Ante Natal Care (ANC)],1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,55372,55372,0,8964,46408,4681,4681,NA,377,4304,4927,4927,NA,1155,3772,2641,2641,NA,123,2518,4502,4502,NA,56,4446,6638,6638,NA,NA,6638,2510,2510,NA,137,2373,3715,3715,NA,NA,3715,5430,5430,NA,499,4931,3708,3708,NA,77,3631,6023,6023,0,7,6016,4064,4064,NA,NA,4064,6533,6533,NA,6533,NA
M1 [Ante Natal Care (ANC)],1.2.1,Number of PW given TT1,TOTAL,53157,51692,1465,16791,36366,3528,3528,NA,404,3124,4480,4480,NA,1139,3341,2669,2669,NA,147,2522,4588,4588,NA,199,4389,5620,5620,NA,NA,5620,1996,1996,NA,175,1821,3091,3091,NA,NA,3091,4352,4352,NA,631,3721,2945,2945,NA,99,2846,3451,1986,1465,16,3435,2456,2456,NA,NA,2456,13981,13981,NA,13981,NA
M1 [Ante Natal Care (ANC)],1.2.2,Number of PW given TT2,TOTAL,44478,43396,1082,13964,30514,1957,1957,NA,378,1579,3809,3809,NA,875,2934,2313,2313,NA,103,2210,3933,3933,NA,105,3828,4674,4674,NA,NA,4674,1689,1689,NA,115,1574,2660,2660,NA,NA,2660,3980,3980,NA,674,3306,2717,2717,NA,102,2615,2844,1762,1082,4,2840,2294,2294,NA,NA,2294,11608,11608,NA,11608,NA
M1 [Ante Natal Care (ANC)],1.2.3,Number of PW given TT Booster,TOTAL,23392,23016,376,2835,20557,2274,2274,NA,283,1991,1624,1624,NA,367,1257,1091,1091,NA,86,1005,1304,1304,NA,73,1231,3450,3450,NA,NA,3450,1175,1175,NA,76,1099,1673,1673,NA,NA,1673,3039,3039,NA,405,2634,1964,1964,NA,35,1929,2133,1757,376,1,2132,2156,2156,NA,NA,2156,1509,1509,NA,1509,NA
M1 [Ante Natal Care (ANC)],1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,63065,62108,957,14263,48802,5793,5793,NA,688,5105,4905,4905,NA,1419,3486,2364,2364,NA,217,2147,4114,4114,NA,201,3913,8116,8116,NA,NA,8116,2884,2884,NA,392,2492,4128,4128,NA,NA,4128,7661,7661,NA,2510,5151,3721,3721,NA,218,3503,7149,6192,957,22,7127,3634,3634,NA,NA,3634,8596,8596,NA,8596,NA
M1 [Ante Natal Care (ANC)],1.2.5,Number of PW given 360 Calcium tablets,TOTAL,42714,41622,1092,6834,35880,5712,5712,NA,622,5090,2772,2772,NA,1476,1296,2003,2003,NA,212,1791,2585,2585,NA,201,2384,5425,5425,NA,NA,5425,1787,1787,NA,392,1395,2365,2365,NA,NA,2365,7420,7420,NA,2667,4753,2373,2373,NA,181,2192,6326,5234,1092,22,6304,2885,2885,NA,NA,2885,1061,1061,NA,1061,NA
M1 [Ante Natal Care (ANC)],1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,18775,18584,191,1745,17030,3081,3081,NA,313,2768,815,815,NA,0,815,570,570,NA,138,432,189,189,NA,0,189,3760,3760,NA,NA,3760,1341,1341,NA,0,1341,1769,1769,NA,NA,1769,2517,2517,NA,152,2365,1415,1415,NA,47,1368,639,448,191,3,636,1587,1587,NA,NA,1587,1092,1092,NA,1092,NA
M1 [Ante Natal Care (ANC)],1.2.7,Number of PW received 4 or more ANC check ups,TOTAL,64591,61364,3227,12538,52053,5627,5627,NA,546,5081,5087,5087,NA,1268,3819,3174,3174,NA,28,3146,4875,4875,NA,96,4779,9181,9181,NA,NA,9181,2597,2597,NA,60,2537,4261,4261,NA,NA,4261,6116,6116,NA,490,5626,4081,4081,NA,263,3818,6255,3028,3227,3,6252,3553,3553,NA,NA,3553,9784,9784,NA,9784,NA
M1 [Ante Natal Care (ANC)],1.2.8,Number of PW given ANC Corticosteroids in Pre Term Labour,TOTAL,533,498,35,40,493,18,18,NA,18,0,21,21,NA,18,3,5,5,NA,0,5,4,4,NA,0,4,435,435,NA,NA,435,6,6,NA,0,6,5,5,NA,NA,5,0,0,NA,0,0,4,4,NA,4,0,35,0,35,0,35,0,0,NA,NA,0,0,0,NA,0,NA
