Indicator,S.No.,Parameters,Type,SubDistrict-_Solapur-Total [(A+B) or (C+D)],SubDistrict-_Solapur-Public [A],SubDistrict-_Solapur-Private [B],SubDistrict-_Solapur-Urban [C],SubDistrict-_Solapur-Rural [D],SubDistrict-Akkalkot-Total [(A+B) or (C+D)],SubDistrict-Akkalkot-Public [A],SubDistrict-Akkalkot-Private [B],SubDistrict-Akkalkot-Urban [C],SubDistrict-Akkalkot-Rural [D],SubDistrict-Barshi-Total [(A+B) or (C+D)],SubDistrict-Barshi-Public [A],SubDistrict-Barshi-Private [B],SubDistrict-Barshi-Urban [C],SubDistrict-Barshi-Rural [D],SubDistrict-Karmala-Total [(A+B) or (C+D)],SubDistrict-Karmala-Public [A],SubDistrict-Karmala-Private [B],SubDistrict-Karmala-Urban [C],SubDistrict-Karmala-Rural [D],SubDistrict-Madha-Total [(A+B) or (C+D)],SubDistrict-Madha-Public [A],SubDistrict-Madha-Private [B],SubDistrict-Madha-Urban [C],SubDistrict-Madha-Rural [D],SubDistrict-Malshiras-Total [(A+B) or (C+D)],SubDistrict-Malshiras-Public [A],SubDistrict-Malshiras-Private [B],SubDistrict-Malshiras-Urban [C],SubDistrict-Malshiras-Rural [D],SubDistrict-Mangalvedhe-Total [(A+B) or (C+D)],SubDistrict-Mangalvedhe-Public [A],SubDistrict-Mangalvedhe-Private [B],SubDistrict-Mangalvedhe-Urban [C],SubDistrict-Mangalvedhe-Rural [D],SubDistrict-Mohol-Total [(A+B) or (C+D)],SubDistrict-Mohol-Public [A],SubDistrict-Mohol-Private [B],SubDistrict-Mohol-Urban [C],SubDistrict-Mohol-Rural [D],SubDistrict-Pandharpur-Total [(A+B) or (C+D)],SubDistrict-Pandharpur-Public [A],SubDistrict-Pandharpur-Private [B],SubDistrict-Pandharpur-Urban [C],SubDistrict-Pandharpur-Rural [D],SubDistrict-Sangole-Total [(A+B) or (C+D)],SubDistrict-Sangole-Public [A],SubDistrict-Sangole-Private [B],SubDistrict-Sangole-Urban [C],SubDistrict-Sangole-Rural [D],SubDistrict-Solapur North-Total [(A+B) or (C+D)],SubDistrict-Solapur North-Public [A],SubDistrict-Solapur North-Private [B],SubDistrict-Solapur North-Urban [C],SubDistrict-Solapur North-Rural [D],SubDistrict-Solapur South-Total [(A+B) or (C+D)],SubDistrict-Solapur South-Public [A],SubDistrict-Solapur South-Private [B],SubDistrict-Solapur South-Urban [C],SubDistrict-Solapur South-Rural [D],SubDistrict-Solapur Urban-Total [(A+B) or (C+D)],SubDistrict-Solapur Urban-Public [A],SubDistrict-Solapur Urban-Private [B],SubDistrict-Solapur Urban-Urban [C],SubDistrict-Solapur Urban-Rural [D]
M1 [Ante Natal Care (ANC)],1.1,Total number of pregnant women registered for ANC,TOTAL,72667,72667,0,21382,51285,5298,5298,NA,688,4610,5218,5218,NA,1449,3769,3527,3527,NA,416,3111,4937,4937,NA,186,4751,7332,7332,NA,NA,7332,3137,3137,NA,427,2710,4465,4465,NA,NA,4465,8164,8164,NA,2611,5553,4409,4409,NA,190,4219,6646,6646,0,23,6623,4142,4142,NA,NA,4142,15392,15392,NA,15392,NA
M1 [Ante Natal Care (ANC)],1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,50005,50005,0,8160,41845,4212,4212,NA,345,3867,4426,4426,NA,1040,3386,2368,2368,NA,95,2273,4044,4044,NA,54,3990,6053,6053,NA,NA,6053,2299,2299,NA,131,2168,3366,3366,NA,NA,3366,4979,4979,NA,459,4520,3332,3332,NA,70,3262,5333,5333,0,6,5327,3633,3633,NA,NA,3633,5960,5960,NA,5960,NA
M1 [Ante Natal Care (ANC)],1.2.1,Number of PW given TT1,TOTAL,47828,46913,915,15322,32506,3181,3181,NA,372,2809,3991,3991,NA,1036,2955,2445,2445,NA,129,2316,4145,4145,NA,184,3961,5114,5114,NA,NA,5114,1831,1831,NA,169,1662,2827,2827,NA,NA,2827,3957,3957,NA,556,3401,2667,2667,NA,90,2577,2644,1729,915,14,2630,2254,2254,NA,NA,2254,12772,12772,NA,12772,NA
M1 [Ante Natal Care (ANC)],1.2.2,Number of PW given TT2,TOTAL,40164,39512,652,12870,27294,1759,1759,NA,344,1415,3376,3376,NA,795,2581,2113,2113,NA,89,2024,3577,3577,NA,95,3482,4226,4226,NA,NA,4226,1517,1517,NA,104,1413,2427,2427,NA,NA,2427,3645,3645,NA,617,3028,2459,2459,NA,95,2364,2248,1596,652,3,2245,2089,2089,NA,NA,2089,10728,10728,NA,10728,NA
M1 [Ante Natal Care (ANC)],1.2.3,Number of PW given TT Booster,TOTAL,20990,20807,183,2490,18500,2063,2063,NA,257,1806,1391,1391,NA,326,1065,968,968,NA,76,892,1174,1174,NA,67,1107,3151,3151,NA,NA,3151,1071,1071,NA,64,1007,1531,1531,NA,NA,1531,2792,2792,NA,366,2426,1747,1747,NA,35,1712,1853,1670,183,1,1852,1951,1951,NA,NA,1951,1298,1298,NA,1298,NA
M1 [Ante Natal Care (ANC)],1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,56583,56120,463,12829,43754,5219,5219,NA,624,4595,4335,4335,NA,1262,3073,2115,2115,NA,195,1920,3667,3667,NA,186,3481,7218,7218,NA,NA,7218,2675,2675,NA,386,2289,3815,3815,NA,NA,3815,7044,7044,NA,2358,4686,3303,3303,NA,197,3106,6300,5837,463,19,6281,3290,3290,NA,NA,3290,7602,7602,NA,7602,NA
M1 [Ante Natal Care (ANC)],1.2.5,Number of PW given 360 Calcium tablets,TOTAL,38770,38066,704,6194,32576,5138,5138,NA,558,4580,2564,2564,NA,1319,1245,1894,1894,NA,190,1704,2372,2372,NA,186,2186,4877,4877,NA,NA,4877,1664,1664,NA,386,1278,2193,2193,NA,NA,2193,6857,6857,NA,2515,4342,2151,2151,NA,160,1991,5617,4913,704,19,5598,2582,2582,NA,NA,2582,861,861,NA,861,NA
M1 [Ante Natal Care (ANC)],1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,16663,16592,71,1230,15433,2891,2891,NA,281,2610,773,773,NA,0,773,537,537,NA,120,417,167,167,NA,0,167,3367,3367,NA,NA,3367,1238,1238,NA,0,1238,1613,1613,NA,NA,1613,2137,2137,NA,0,2137,1241,1241,NA,40,1201,480,409,71,3,477,1433,1433,NA,NA,1433,786,786,NA,786,NA
M1 [Ante Natal Care (ANC)],1.2.7,Number of PW received 4 or more ANC check ups,TOTAL,58253,55574,2679,11462,46791,5057,5057,NA,486,4571,4563,4563,NA,1102,3461,2896,2896,NA,25,2871,4423,4423,NA,86,4337,8235,8235,NA,NA,8235,2389,2389,NA,53,2336,3920,3920,NA,NA,3920,5503,5503,NA,348,5155,3722,3722,NA,247,3475,5172,2493,2679,3,5169,3261,3261,NA,NA,3261,9112,9112,NA,9112,NA
M1 [Ante Natal Care (ANC)],1.2.8,Number of PW given ANC Corticosteroids in Pre Term Labour,TOTAL,449,427,22,31,418,17,17,NA,17,0,13,13,NA,10,3,5,5,NA,0,5,3,3,NA,0,3,374,374,NA,NA,374,6,6,NA,0,6,5,5,NA,NA,5,0,0,NA,0,0,4,4,NA,4,0,22,0,22,0,22,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.3.1,New cases of PW with hypertension detected,TOTAL,318,293,25,120,198,39,39,NA,20,19,32,32,NA,26,6,1,1,NA,0,1,0,0,NA,0,0,26,26,NA,NA,26,0,0,NA,0,0,45,45,NA,NA,45,71,71,NA,51,20,10,10,NA,1,9,36,11,25,0,36,36,36,NA,NA,36,22,22,NA,22,NA
M1 [Ante Natal Care (ANC)],1.3.1.a,"Out of the new cases of PW with hypertension detected, cases managed at institution",TOTAL,120,114,6,29,91,24,24,NA,12,12,7,7,NA,4,3,1,1,NA,0,1,0,0,NA,0,0,9,9,NA,NA,9,0,0,NA,0,0,16,16,NA,NA,16,20,20,NA,0,20,1,1,NA,1,0,7,1,6,0,7,23,23,NA,NA,23,12,12,NA,12,NA
M1 [Ante Natal Care (ANC)],1.3.2,Number of Eclampsia cases managed during delivery,TOTAL,297,297,0,7,290,3,3,NA,3,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,1,1,NA,NA,1,0,0,NA,0,0,1,1,NA,NA,1,4,4,NA,4,0,0,0,NA,0,0,288,288,0,0,288,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.4.1,Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,TOTAL,48550,48197,353,12062,36488,4962,4962,NA,462,4500,3441,3441,NA,235,3206,3114,3114,NA,0,3114,348,348,NA,0,348,6873,6873,NA,NA,6873,2786,2786,NA,63,2723,3376,3376,NA,NA,3376,5072,5072,NA,1873,3199,3533,3533,NA,244,3289,2838,2485,353,10,2828,3032,3032,NA,NA,3032,9175,9175,NA,9175,NA
