Indicator,S.No.,Parameters,Type,SubDistrict-_Solapur-Total [(A+B) or (C+D)],SubDistrict-_Solapur-Public [A],SubDistrict-_Solapur-Private [B],SubDistrict-_Solapur-Urban [C],SubDistrict-_Solapur-Rural [D],SubDistrict-Akkalkot-Total [(A+B) or (C+D)],SubDistrict-Akkalkot-Public [A],SubDistrict-Akkalkot-Private [B],SubDistrict-Akkalkot-Urban [C],SubDistrict-Akkalkot-Rural [D],SubDistrict-Barshi-Total [(A+B) or (C+D)],SubDistrict-Barshi-Public [A],SubDistrict-Barshi-Private [B],SubDistrict-Barshi-Urban [C],SubDistrict-Barshi-Rural [D],SubDistrict-Karmala-Total [(A+B) or (C+D)],SubDistrict-Karmala-Public [A],SubDistrict-Karmala-Private [B],SubDistrict-Karmala-Urban [C],SubDistrict-Karmala-Rural [D],SubDistrict-Madha-Total [(A+B) or (C+D)],SubDistrict-Madha-Public [A],SubDistrict-Madha-Private [B],SubDistrict-Madha-Urban [C],SubDistrict-Madha-Rural [D],SubDistrict-Malshiras-Total [(A+B) or (C+D)],SubDistrict-Malshiras-Public [A],SubDistrict-Malshiras-Private [B],SubDistrict-Malshiras-Urban [C],SubDistrict-Malshiras-Rural [D],SubDistrict-Mangalvedhe-Total [(A+B) or (C+D)],SubDistrict-Mangalvedhe-Public [A],SubDistrict-Mangalvedhe-Private [B],SubDistrict-Mangalvedhe-Urban [C],SubDistrict-Mangalvedhe-Rural [D],SubDistrict-Mohol-Total [(A+B) or (C+D)],SubDistrict-Mohol-Public [A],SubDistrict-Mohol-Private [B],SubDistrict-Mohol-Urban [C],SubDistrict-Mohol-Rural [D],SubDistrict-Pandharpur-Total [(A+B) or (C+D)],SubDistrict-Pandharpur-Public [A],SubDistrict-Pandharpur-Private [B],SubDistrict-Pandharpur-Urban [C],SubDistrict-Pandharpur-Rural [D],SubDistrict-Sangole-Total [(A+B) or (C+D)],SubDistrict-Sangole-Public [A],SubDistrict-Sangole-Private [B],SubDistrict-Sangole-Urban [C],SubDistrict-Sangole-Rural [D],SubDistrict-Solapur North-Total [(A+B) or (C+D)],SubDistrict-Solapur North-Public [A],SubDistrict-Solapur North-Private [B],SubDistrict-Solapur North-Urban [C],SubDistrict-Solapur North-Rural [D],SubDistrict-Solapur South-Total [(A+B) or (C+D)],SubDistrict-Solapur South-Public [A],SubDistrict-Solapur South-Private [B],SubDistrict-Solapur South-Urban [C],SubDistrict-Solapur South-Rural [D],SubDistrict-Solapur Urban-Total [(A+B) or (C+D)],SubDistrict-Solapur Urban-Public [A],SubDistrict-Solapur Urban-Private [B],SubDistrict-Solapur Urban-Urban [C],SubDistrict-Solapur Urban-Rural [D]
M1 [Ante Natal Care (ANC)],1.1,Total number of pregnant women registered for ANC,TOTAL,87942,87942,0,25615,62327,6404,6404,NA,822,5582,6340,6340,NA,1737,4603,4411,4411,NA,514,3897,5976,5976,NA,221,5755,8828,8828,NA,NA,8828,3803,3803,NA,524,3279,5324,5324,NA,NA,5324,9458,9458,NA,2876,6582,5397,5397,NA,239,5158,8320,8320,0,28,8292,5027,5027,NA,NA,5027,18654,18654,NA,18654,NA
M1 [Ante Natal Care (ANC)],1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,61086,61086,0,9891,51195,5120,5120,NA,411,4709,5413,5413,NA,1258,4155,3021,3021,NA,135,2886,4924,4924,NA,67,4857,7318,7318,NA,NA,7318,2769,2769,NA,157,2612,4086,4086,NA,NA,4086,5969,5969,NA,578,5391,4098,4098,NA,82,4016,6722,6722,0,7,6715,4450,4450,NA,NA,4450,7196,7196,NA,7196,NA
M1 [Ante Natal Care (ANC)],1.2.1,Number of PW given TT1,TOTAL,58131,56477,1654,18376,39755,3820,3820,NA,438,3382,4794,4794,NA,1211,3583,2960,2960,NA,169,2791,4970,4970,NA,219,4751,6241,6241,NA,NA,6241,2204,2204,NA,207,1997,3345,3345,NA,NA,3345,4799,4799,NA,740,4059,3230,3230,NA,104,3126,3823,2169,1654,17,3806,2674,2674,NA,NA,2674,15271,15271,NA,15271,NA
M1 [Ante Natal Care (ANC)],1.2.2,Number of PW given TT2,TOTAL,48466,47204,1262,15092,33374,2141,2141,NA,410,1731,4107,4107,NA,942,3165,2531,2531,NA,116,2415,4268,4268,NA,117,4151,5120,5120,NA,NA,5120,1883,1883,NA,127,1756,2907,2907,NA,NA,2907,4331,4331,NA,726,3605,2970,2970,NA,112,2858,3164,1902,1262,5,3159,2507,2507,NA,NA,2507,12537,12537,NA,12537,NA
M1 [Ante Natal Care (ANC)],1.2.3,Number of PW given TT Booster,TOTAL,25789,25352,437,3125,22664,2498,2498,NA,303,2195,1730,1730,NA,398,1332,1302,1302,NA,97,1205,1442,1442,NA,81,1361,3818,3818,NA,NA,3818,1315,1315,NA,87,1228,1835,1835,NA,NA,1835,3311,3311,NA,437,2874,2181,2181,NA,43,2138,2299,1862,437,1,2298,2380,2380,NA,NA,2380,1678,1678,NA,1678,NA
M1 [Ante Natal Care (ANC)],1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,69360,67941,1419,15718,53642,6317,6317,NA,750,5567,5422,5422,NA,1550,3872,2693,2693,NA,243,2450,4523,4523,NA,221,4302,9084,9084,NA,NA,9084,3153,3153,NA,447,2706,4438,4438,NA,NA,4438,8276,8276,NA,2623,5653,4137,4137,NA,246,3891,7740,6321,1419,24,7716,3963,3963,NA,NA,3963,9614,9614,NA,9614,NA
M1 [Ante Natal Care (ANC)],1.2.5,Number of PW given 360 Calcium tablets,TOTAL,47368,45794,1574,7742,39626,6236,6236,NA,684,5552,2986,2986,NA,1607,1379,2175,2175,NA,238,1937,2811,2811,NA,221,2590,6167,6167,NA,NA,6167,1899,1899,NA,392,1507,2573,2573,NA,NA,2573,7963,7963,NA,2780,5183,2681,2681,NA,209,2472,7141,5567,1574,24,7117,3149,3149,NA,NA,3149,1587,1587,NA,1587,NA
M1 [Ante Natal Care (ANC)],1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,20876,20600,276,2094,18782,3273,3273,NA,335,2938,869,869,NA,0,869,695,695,NA,157,538,206,206,NA,0,206,4137,4137,NA,NA,4137,1461,1461,NA,0,1461,1911,1911,NA,NA,1911,2843,2843,NA,265,2578,1727,1727,NA,54,1673,750,474,276,5,745,1726,1726,NA,NA,1726,1278,1278,NA,1278,NA
M1 [Ante Natal Care (ANC)],1.2.7,Number of PW received 4 or more ANC check ups,TOTAL,70606,66991,3615,13488,57118,6141,6141,NA,598,5543,5597,5597,NA,1408,4189,3454,3454,NA,32,3422,5316,5316,NA,106,5210,10306,10306,NA,NA,10306,2801,2801,NA,64,2737,4598,4598,NA,NA,4598,6710,6710,NA,533,6177,4462,4462,NA,268,4194,6917,3302,3615,3,6914,3828,3828,NA,NA,3828,10476,10476,NA,10476,NA
M1 [Ante Natal Care (ANC)],1.2.8,Number of PW given ANC Corticosteroids in Pre Term Labour,TOTAL,576,541,35,49,527,20,20,NA,20,0,28,28,NA,25,3,5,5,NA,0,5,5,5,NA,0,5,439,439,NA,NA,439,21,21,NA,0,21,16,16,NA,NA,16,0,0,NA,0,0,7,7,NA,4,3,35,0,35,0,35,0,0,NA,NA,0,0,0,NA,0,NA
