Indicator,S.No.,Parameters,Type,SubDistrict-_Solapur-Total [(A+B) or (C+D)],SubDistrict-_Solapur-Public [A],SubDistrict-_Solapur-Private [B],SubDistrict-_Solapur-Urban [C],SubDistrict-_Solapur-Rural [D],SubDistrict-Akkalkot-Total [(A+B) or (C+D)],SubDistrict-Akkalkot-Public [A],SubDistrict-Akkalkot-Private [B],SubDistrict-Akkalkot-Urban [C],SubDistrict-Akkalkot-Rural [D],SubDistrict-Barshi-Total [(A+B) or (C+D)],SubDistrict-Barshi-Public [A],SubDistrict-Barshi-Private [B],SubDistrict-Barshi-Urban [C],SubDistrict-Barshi-Rural [D],SubDistrict-Karmala-Total [(A+B) or (C+D)],SubDistrict-Karmala-Public [A],SubDistrict-Karmala-Private [B],SubDistrict-Karmala-Urban [C],SubDistrict-Karmala-Rural [D],SubDistrict-Madha-Total [(A+B) or (C+D)],SubDistrict-Madha-Public [A],SubDistrict-Madha-Private [B],SubDistrict-Madha-Urban [C],SubDistrict-Madha-Rural [D],SubDistrict-Malshiras-Total [(A+B) or (C+D)],SubDistrict-Malshiras-Public [A],SubDistrict-Malshiras-Private [B],SubDistrict-Malshiras-Urban [C],SubDistrict-Malshiras-Rural [D],SubDistrict-Mangalvedhe-Total [(A+B) or (C+D)],SubDistrict-Mangalvedhe-Public [A],SubDistrict-Mangalvedhe-Private [B],SubDistrict-Mangalvedhe-Urban [C],SubDistrict-Mangalvedhe-Rural [D],SubDistrict-Mohol-Total [(A+B) or (C+D)],SubDistrict-Mohol-Public [A],SubDistrict-Mohol-Private [B],SubDistrict-Mohol-Urban [C],SubDistrict-Mohol-Rural [D],SubDistrict-Pandharpur-Total [(A+B) or (C+D)],SubDistrict-Pandharpur-Public [A],SubDistrict-Pandharpur-Private [B],SubDistrict-Pandharpur-Urban [C],SubDistrict-Pandharpur-Rural [D],SubDistrict-Sangole-Total [(A+B) or (C+D)],SubDistrict-Sangole-Public [A],SubDistrict-Sangole-Private [B],SubDistrict-Sangole-Urban [C],SubDistrict-Sangole-Rural [D],SubDistrict-Solapur North-Total [(A+B) or (C+D)],SubDistrict-Solapur North-Public [A],SubDistrict-Solapur North-Private [B],SubDistrict-Solapur North-Urban [C],SubDistrict-Solapur North-Rural [D],SubDistrict-Solapur South-Total [(A+B) or (C+D)],SubDistrict-Solapur South-Public [A],SubDistrict-Solapur South-Private [B],SubDistrict-Solapur South-Urban [C],SubDistrict-Solapur South-Rural [D],SubDistrict-Solapur Urban-Total [(A+B) or (C+D)],SubDistrict-Solapur Urban-Public [A],SubDistrict-Solapur Urban-Private [B],SubDistrict-Solapur Urban-Urban [C],SubDistrict-Solapur Urban-Rural [D]
M1 [Ante Natal Care (ANC)],1.1,Total number of pregnant women registered for ANC,TOTAL,58157,58157,0,17202,40955,4292,4292,NA,532,3760,4203,4203,NA,1146,3057,2878,2878,NA,319,2559,3927,3927,NA,147,3780,5860,5860,NA,NA,5860,2538,2538,NA,347,2191,3618,3618,NA,NA,3618,6696,6696,NA,2168,4528,3524,3524,NA,157,3367,4905,4905,0,14,4891,3344,3344,NA,NA,3344,12372,12372,NA,12372,NA
M1 [Ante Natal Care (ANC)],1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,39968,39968,0,6620,33348,3418,3418,NA,282,3136,3547,3547,NA,819,2728,1936,1936,NA,67,1869,3183,3183,NA,40,3143,4856,4856,NA,NA,4856,1869,1869,NA,109,1760,2711,2711,NA,NA,2711,4054,4054,NA,402,3652,2636,2636,NA,55,2581,3972,3972,0,3,3969,2943,2943,NA,NA,2943,4843,4843,NA,4843,NA
M1 [Ante Natal Care (ANC)],1.2.1,Number of PW given TT1,TOTAL,38706,37883,823,12239,26467,2635,2635,NA,309,2326,3249,3249,NA,807,2442,2024,2024,NA,101,1923,3264,3264,NA,145,3119,4127,4127,NA,NA,4127,1498,1498,NA,147,1351,2257,2257,NA,NA,2257,3220,3220,NA,413,2807,2138,2138,NA,78,2060,2201,1378,823,10,2191,1864,1864,NA,NA,1864,10229,10229,NA,10229,NA
M1 [Ante Natal Care (ANC)],1.2.2,Number of PW given TT2,TOTAL,32415,31833,582,10311,22104,1436,1436,NA,274,1162,2691,2691,NA,615,2076,1730,1730,NA,66,1664,2858,2858,NA,75,2783,3403,3403,NA,NA,3403,1239,1239,NA,77,1162,1925,1925,NA,NA,1925,2968,2968,NA,486,2482,1988,1988,NA,82,1906,1874,1292,582,3,1871,1670,1670,NA,NA,1670,8633,8633,NA,8633,NA
M1 [Ante Natal Care (ANC)],1.2.3,Number of PW given TT Booster,TOTAL,16460,16308,152,1914,14546,1639,1639,NA,205,1434,1136,1136,NA,251,885,776,776,NA,59,717,912,912,NA,47,865,2539,2539,NA,NA,2539,862,862,NA,51,811,1280,1280,NA,NA,1280,2261,2261,NA,288,1973,1400,1400,NA,27,1373,1116,964,152,1,1115,1554,1554,NA,NA,1554,985,985,NA,985,NA
M1 [Ante Natal Care (ANC)],1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,44418,43995,423,9770,34648,4245,4245,NA,500,3745,3438,3438,NA,959,2479,1685,1685,NA,131,1554,2906,2906,NA,147,2759,5760,5760,NA,NA,5760,2156,2156,NA,290,1866,3074,3074,NA,NA,3074,5643,5643,NA,1939,3704,2720,2720,NA,164,2556,4598,4175,423,13,4585,2566,2566,NA,NA,2566,5627,5627,NA,5627,NA
M1 [Ante Natal Care (ANC)],1.2.5,Number of PW given 360 Calcium tablets,TOTAL,30892,30228,664,4602,26290,4164,4164,NA,434,3730,2022,2022,NA,1016,1006,1604,1604,NA,126,1478,1876,1876,NA,147,1729,3998,3998,NA,NA,3998,1330,1330,NA,290,1040,1687,1687,NA,NA,1687,5500,5500,NA,2072,3428,1769,1769,NA,127,1642,4568,3904,664,13,4555,1997,1997,NA,NA,1997,377,377,NA,377,NA
M1 [Ante Natal Care (ANC)],1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,13315,13266,49,896,12419,2346,2346,NA,213,2133,603,603,NA,0,603,471,471,NA,85,386,110,110,NA,0,110,2713,2713,NA,NA,2713,1038,1038,NA,0,1038,1271,1271,NA,NA,1271,1673,1673,NA,0,1673,1027,1027,NA,24,1003,384,335,49,3,381,1108,1108,NA,NA,1108,571,571,NA,571,NA
M1 [Ante Natal Care (ANC)],1.2.7,Number of PW received 4 or more ANC check ups,TOTAL,47024,44391,2633,9247,37777,4087,4087,NA,366,3721,3641,3641,NA,846,2795,2368,2368,NA,20,2348,3580,3580,NA,63,3517,6431,6431,NA,NA,6431,1933,1933,NA,45,1888,3129,3129,NA,NA,3129,4390,4390,NA,327,4063,3011,3011,NA,199,2812,4477,1844,2633,3,4474,2599,2599,NA,NA,2599,7378,7378,NA,7378,NA
M1 [Ante Natal Care (ANC)],1.2.8,Number of PW given ANC Corticosteroids in Pre Term Labour,TOTAL,381,359,22,17,364,13,13,NA,13,0,0,0,NA,0,0,5,5,NA,0,5,3,3,NA,0,3,326,326,NA,NA,326,4,4,NA,0,4,4,4,NA,NA,4,0,0,NA,0,0,4,4,NA,4,0,22,0,22,0,22,0,0,NA,NA,0,0,0,NA,0,NA
