Indicator,S.No.,Parameters,Type,SubDistrict-_Solapur-Total [(A+B) or (C+D)],SubDistrict-_Solapur-Public [A],SubDistrict-_Solapur-Private [B],SubDistrict-_Solapur-Urban [C],SubDistrict-_Solapur-Rural [D],SubDistrict-Akkalkot-Total [(A+B) or (C+D)],SubDistrict-Akkalkot-Public [A],SubDistrict-Akkalkot-Private [B],SubDistrict-Akkalkot-Urban [C],SubDistrict-Akkalkot-Rural [D],SubDistrict-Barshi-Total [(A+B) or (C+D)],SubDistrict-Barshi-Public [A],SubDistrict-Barshi-Private [B],SubDistrict-Barshi-Urban [C],SubDistrict-Barshi-Rural [D],SubDistrict-Karmala-Total [(A+B) or (C+D)],SubDistrict-Karmala-Public [A],SubDistrict-Karmala-Private [B],SubDistrict-Karmala-Urban [C],SubDistrict-Karmala-Rural [D],SubDistrict-Madha-Total [(A+B) or (C+D)],SubDistrict-Madha-Public [A],SubDistrict-Madha-Private [B],SubDistrict-Madha-Urban [C],SubDistrict-Madha-Rural [D],SubDistrict-Malshiras-Total [(A+B) or (C+D)],SubDistrict-Malshiras-Public [A],SubDistrict-Malshiras-Private [B],SubDistrict-Malshiras-Urban [C],SubDistrict-Malshiras-Rural [D],SubDistrict-Mangalvedhe-Total [(A+B) or (C+D)],SubDistrict-Mangalvedhe-Public [A],SubDistrict-Mangalvedhe-Private [B],SubDistrict-Mangalvedhe-Urban [C],SubDistrict-Mangalvedhe-Rural [D],SubDistrict-Mohol-Total [(A+B) or (C+D)],SubDistrict-Mohol-Public [A],SubDistrict-Mohol-Private [B],SubDistrict-Mohol-Urban [C],SubDistrict-Mohol-Rural [D],SubDistrict-Pandharpur-Total [(A+B) or (C+D)],SubDistrict-Pandharpur-Public [A],SubDistrict-Pandharpur-Private [B],SubDistrict-Pandharpur-Urban [C],SubDistrict-Pandharpur-Rural [D],SubDistrict-Sangole-Total [(A+B) or (C+D)],SubDistrict-Sangole-Public [A],SubDistrict-Sangole-Private [B],SubDistrict-Sangole-Urban [C],SubDistrict-Sangole-Rural [D],SubDistrict-Solapur North-Total [(A+B) or (C+D)],SubDistrict-Solapur North-Public [A],SubDistrict-Solapur North-Private [B],SubDistrict-Solapur North-Urban [C],SubDistrict-Solapur North-Rural [D],SubDistrict-Solapur South-Total [(A+B) or (C+D)],SubDistrict-Solapur South-Public [A],SubDistrict-Solapur South-Private [B],SubDistrict-Solapur South-Urban [C],SubDistrict-Solapur South-Rural [D],SubDistrict-Solapur Urban-Total [(A+B) or (C+D)],SubDistrict-Solapur Urban-Public [A],SubDistrict-Solapur Urban-Private [B],SubDistrict-Solapur Urban-Urban [C],SubDistrict-Solapur Urban-Rural [D]
M1 [Ante Natal Care (ANC)],1.1,Total number of pregnant women registered for ANC,TOTAL,50480,50480,0,14989,35491,3768,3768,NA,457,3311,3695,3695,NA,984,2711,2548,2548,NA,273,2275,3423,3423,NA,127,3296,5034,5034,NA,NA,5034,2225,2225,NA,311,1914,3160,3160,NA,NA,3160,5935,5935,NA,1946,3989,3114,3114,NA,142,2972,3913,3913,0,9,3904,2925,2925,NA,NA,2925,10740,10740,NA,10740,NA
M1 [Ante Natal Care (ANC)],1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,34738,34738,0,5831,28907,2987,2987,NA,246,2741,3154,3154,NA,740,2414,1710,1710,NA,56,1654,2773,2773,NA,33,2740,4191,4191,NA,NA,4191,1630,1630,NA,96,1534,2362,2362,NA,NA,2362,3602,3602,NA,371,3231,2325,2325,NA,49,2276,3184,3184,0,2,3182,2582,2582,NA,NA,2582,4238,4238,NA,4238,NA
M1 [Ante Natal Care (ANC)],1.2.1,Number of PW given TT1,TOTAL,33747,33033,714,10644,23103,2310,2310,NA,273,2037,2851,2851,NA,694,2157,1773,1773,NA,84,1689,2849,2849,NA,125,2724,3537,3537,NA,NA,3537,1313,1313,NA,128,1185,1981,1981,NA,NA,1981,2786,2786,NA,361,2425,1901,1901,NA,72,1829,1909,1195,714,6,1903,1636,1636,NA,NA,1636,8901,8901,NA,8901,NA
M1 [Ante Natal Care (ANC)],1.2.2,Number of PW given TT2,TOTAL,28515,27997,518,9078,19437,1271,1271,NA,240,1031,2365,2365,NA,531,1834,1488,1488,NA,52,1436,2511,2511,NA,60,2451,2951,2951,NA,NA,2951,1112,1112,NA,69,1043,1664,1664,NA,NA,1664,2566,2566,NA,390,2176,1791,1791,NA,71,1720,1649,1131,518,2,1647,1484,1484,NA,NA,1484,7663,7663,NA,7663,NA
M1 [Ante Natal Care (ANC)],1.2.3,Number of PW given TT Booster,TOTAL,14342,14193,149,1608,12734,1455,1455,NA,179,1276,1004,1004,NA,222,782,686,686,NA,49,637,803,803,NA,42,761,2160,2160,NA,NA,2160,742,742,NA,45,697,1129,1129,NA,NA,1129,1962,1962,NA,241,1721,1237,1237,NA,24,1213,981,832,149,1,980,1378,1378,NA,NA,1378,805,805,NA,805,NA
M1 [Ante Natal Care (ANC)],1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,38057,37669,388,8280,29777,3734,3734,NA,438,3296,2998,2998,NA,797,2201,1452,1452,NA,100,1352,2529,2529,NA,127,2402,5004,5004,NA,NA,5004,1886,1886,NA,241,1645,2676,2676,NA,NA,2676,4899,4899,NA,1748,3151,2448,2448,NA,149,2299,3562,3174,388,9,3553,2198,2198,NA,NA,2198,4671,4671,NA,4671,NA
M1 [Ante Natal Care (ANC)],1.2.5,Number of PW given 360 Calcium tablets,TOTAL,26468,25839,629,3866,22602,3653,3653,NA,372,3281,1772,1772,NA,854,918,1392,1392,NA,95,1297,1673,1673,NA,127,1546,3546,3546,NA,NA,3546,1121,1121,NA,241,880,1441,1441,NA,NA,1441,4807,4807,NA,1850,2957,1568,1568,NA,112,1456,3577,2948,629,9,3568,1712,1712,NA,NA,1712,206,206,NA,206,NA
M1 [Ante Natal Care (ANC)],1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,11452,11411,41,678,10774,1977,1977,NA,185,1792,518,518,NA,0,518,437,437,NA,66,371,110,110,NA,0,110,2335,2335,NA,NA,2335,909,909,NA,0,909,1118,1118,NA,NA,1118,1423,1423,NA,0,1423,915,915,NA,18,897,325,284,41,3,322,979,979,NA,NA,979,406,406,NA,406,NA
M1 [Ante Natal Care (ANC)],1.2.7,Number of PW received 4 or more ANC check ups,TOTAL,41132,38983,2149,8153,32979,3586,3586,NA,314,3272,3138,3138,NA,684,2454,2101,2101,NA,17,2084,3157,3157,NA,53,3104,5475,5475,NA,NA,5475,1750,1750,NA,40,1710,2764,2764,NA,NA,2764,3834,3834,NA,311,3523,2686,2686,NA,172,2514,3851,1702,2149,3,3848,2231,2231,NA,NA,2231,6559,6559,NA,6559,NA
M1 [Ante Natal Care (ANC)],1.2.8,Number of PW given ANC Corticosteroids in Pre Term Labour,TOTAL,324,303,21,15,309,11,11,NA,11,0,0,0,NA,0,0,5,5,NA,0,5,3,3,NA,0,3,272,272,NA,NA,272,4,4,NA,0,4,4,4,NA,NA,4,0,0,NA,0,0,4,4,NA,4,0,21,0,21,0,21,0,0,NA,NA,0,0,0,NA,0,NA
