Indicator,S.No.,Parameters,Type,SubDistrict-_Solapur-Total [(A+B) or (C+D)],SubDistrict-_Solapur-Public [A],SubDistrict-_Solapur-Private [B],SubDistrict-_Solapur-Urban [C],SubDistrict-_Solapur-Rural [D],SubDistrict-Akkalkot-Total [(A+B) or (C+D)],SubDistrict-Akkalkot-Public [A],SubDistrict-Akkalkot-Private [B],SubDistrict-Akkalkot-Urban [C],SubDistrict-Akkalkot-Rural [D],SubDistrict-Barshi-Total [(A+B) or (C+D)],SubDistrict-Barshi-Public [A],SubDistrict-Barshi-Private [B],SubDistrict-Barshi-Urban [C],SubDistrict-Barshi-Rural [D],SubDistrict-Karmala-Total [(A+B) or (C+D)],SubDistrict-Karmala-Public [A],SubDistrict-Karmala-Private [B],SubDistrict-Karmala-Urban [C],SubDistrict-Karmala-Rural [D],SubDistrict-Madha-Total [(A+B) or (C+D)],SubDistrict-Madha-Public [A],SubDistrict-Madha-Private [B],SubDistrict-Madha-Urban [C],SubDistrict-Madha-Rural [D],SubDistrict-Malshiras-Total [(A+B) or (C+D)],SubDistrict-Malshiras-Public [A],SubDistrict-Malshiras-Private [B],SubDistrict-Malshiras-Urban [C],SubDistrict-Malshiras-Rural [D],SubDistrict-Mangalvedhe-Total [(A+B) or (C+D)],SubDistrict-Mangalvedhe-Public [A],SubDistrict-Mangalvedhe-Private [B],SubDistrict-Mangalvedhe-Urban [C],SubDistrict-Mangalvedhe-Rural [D],SubDistrict-Mohol-Total [(A+B) or (C+D)],SubDistrict-Mohol-Public [A],SubDistrict-Mohol-Private [B],SubDistrict-Mohol-Urban [C],SubDistrict-Mohol-Rural [D],SubDistrict-Pandharpur-Total [(A+B) or (C+D)],SubDistrict-Pandharpur-Public [A],SubDistrict-Pandharpur-Private [B],SubDistrict-Pandharpur-Urban [C],SubDistrict-Pandharpur-Rural [D],SubDistrict-Sangole-Total [(A+B) or (C+D)],SubDistrict-Sangole-Public [A],SubDistrict-Sangole-Private [B],SubDistrict-Sangole-Urban [C],SubDistrict-Sangole-Rural [D],SubDistrict-Solapur North-Total [(A+B) or (C+D)],SubDistrict-Solapur North-Public [A],SubDistrict-Solapur North-Private [B],SubDistrict-Solapur North-Urban [C],SubDistrict-Solapur North-Rural [D],SubDistrict-Solapur South-Total [(A+B) or (C+D)],SubDistrict-Solapur South-Public [A],SubDistrict-Solapur South-Private [B],SubDistrict-Solapur South-Urban [C],SubDistrict-Solapur South-Rural [D],SubDistrict-Solapur Urban-Total [(A+B) or (C+D)],SubDistrict-Solapur Urban-Public [A],SubDistrict-Solapur Urban-Private [B],SubDistrict-Solapur Urban-Urban [C],SubDistrict-Solapur Urban-Rural [D]
M1 [Ante Natal Care (ANC)],1.1,Total number of pregnant women registered for ANC,TOTAL,43198,43198,0,12838,30360,3299,3299,NA,392,2907,3168,3168,NA,814,2354,2198,2198,NA,234,1964,3018,3018,NA,110,2908,4376,4376,NA,NA,4376,1988,1988,NA,280,1708,2739,2739,NA,NA,2739,5095,5095,NA,1670,3425,2740,2740,NA,122,2618,2823,2823,0,5,2818,2543,2543,NA,NA,2543,9211,9211,NA,9211,NA
M1 [Ante Natal Care (ANC)],1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,29782,29782,0,5055,24727,2623,2623,NA,211,2412,2713,2713,NA,621,2092,1472,1472,NA,48,1424,2447,2447,NA,30,2417,3656,3656,NA,NA,3656,1452,1452,NA,82,1370,2040,2040,NA,NA,2040,3120,3120,NA,340,2780,2050,2050,NA,42,2008,2314,2314,0,0,2314,2214,2214,NA,NA,2214,3681,3681,NA,3681,NA
M1 [Ante Natal Care (ANC)],1.2.1,Number of PW given TT1,TOTAL,29066,28537,529,9180,19886,2000,2000,NA,238,1762,2458,2458,NA,591,1867,1522,1522,NA,69,1453,2522,2522,NA,108,2414,3066,3066,NA,NA,3066,1163,1163,NA,114,1049,1676,1676,NA,NA,1676,2390,2390,NA,317,2073,1687,1687,NA,61,1626,1473,944,529,3,1470,1430,1430,NA,NA,1430,7679,7679,NA,7679,NA
M1 [Ante Natal Care (ANC)],1.2.2,Number of PW given TT2,TOTAL,24349,23958,391,7773,16576,1126,1126,NA,206,920,2002,2002,NA,447,1555,1250,1250,NA,39,1211,2145,2145,NA,51,2094,2523,2523,NA,NA,2523,965,965,NA,63,902,1404,1404,NA,NA,1404,2193,2193,NA,307,1886,1521,1521,NA,63,1458,1345,954,391,1,1344,1279,1279,NA,NA,1279,6596,6596,NA,6596,NA
M1 [Ante Natal Care (ANC)],1.2.3,Number of PW given TT Booster,TOTAL,12337,12217,120,1292,11045,1291,1291,NA,154,1137,839,839,NA,175,664,600,600,NA,40,560,700,700,NA,37,663,1846,1846,NA,NA,1846,638,638,NA,39,599,970,970,NA,NA,970,1729,1729,NA,241,1488,1079,1079,NA,21,1058,882,762,120,1,881,1179,1179,NA,NA,1179,584,584,NA,584,NA
M1 [Ante Natal Care (ANC)],1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,31985,31650,335,6916,25069,3272,3272,NA,380,2892,2565,2565,NA,653,1912,1225,1225,NA,74,1151,2165,2165,NA,110,2055,4094,4094,NA,NA,4094,1654,1654,NA,196,1458,2280,2280,NA,NA,2280,4152,4152,NA,1503,2649,2112,2112,NA,129,1983,2674,2339,335,5,2669,1926,1926,NA,NA,1926,3866,3866,NA,3866,NA
M1 [Ante Natal Care (ANC)],1.2.5,Number of PW given 360 Calcium tablets,TOTAL,22366,21790,576,3254,19112,3191,3191,NA,314,2877,1556,1556,NA,710,846,1180,1180,NA,69,1111,1458,1458,NA,110,1348,2887,2887,NA,NA,2887,945,945,NA,196,749,1265,1265,NA,NA,1265,4122,4122,NA,1574,2548,1389,1389,NA,92,1297,2733,2157,576,5,2728,1456,1456,NA,NA,1456,184,184,NA,184,NA
M1 [Ante Natal Care (ANC)],1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,9778,9749,29,484,9294,1677,1677,NA,161,1516,468,468,NA,0,468,360,360,NA,50,310,107,107,NA,0,107,2009,2009,NA,NA,2009,813,813,NA,0,813,953,953,NA,NA,953,1254,1254,NA,0,1254,806,806,NA,18,788,268,239,29,3,265,811,811,NA,NA,811,252,252,NA,252,NA
M1 [Ante Natal Care (ANC)],1.2.7,Number of PW received 4 or more ANC check ups,TOTAL,34796,32989,1807,6915,27881,3130,3130,NA,262,2868,2683,2683,NA,588,2095,1782,1782,NA,15,1767,2752,2752,NA,44,2708,4667,4667,NA,NA,4667,1570,1570,NA,34,1536,2370,2370,NA,NA,2370,3267,3267,NA,288,2979,2312,2312,NA,157,2155,2774,967,1807,3,2771,1965,1965,NA,NA,1965,5524,5524,NA,5524,NA
M1 [Ante Natal Care (ANC)],1.2.8,Number of PW given ANC Corticosteroids in Pre Term Labour,TOTAL,270,252,18,13,257,9,9,NA,9,0,0,0,NA,0,0,0,0,NA,0,0,2,2,NA,0,2,233,233,NA,NA,233,4,4,NA,0,4,0,0,NA,NA,0,0,0,NA,0,0,4,4,NA,4,0,18,0,18,0,18,0,0,NA,NA,0,0,0,NA,0,NA
