Indicator,S.No.,Parameters,Type,SubDistrict-_Solapur-Total [(A+B) or (C+D)],SubDistrict-_Solapur-Public [A],SubDistrict-_Solapur-Private [B],SubDistrict-_Solapur-Urban [C],SubDistrict-_Solapur-Rural [D],SubDistrict-Akkalkot-Total [(A+B) or (C+D)],SubDistrict-Akkalkot-Public [A],SubDistrict-Akkalkot-Private [B],SubDistrict-Akkalkot-Urban [C],SubDistrict-Akkalkot-Rural [D],SubDistrict-Barshi-Total [(A+B) or (C+D)],SubDistrict-Barshi-Public [A],SubDistrict-Barshi-Private [B],SubDistrict-Barshi-Urban [C],SubDistrict-Barshi-Rural [D],SubDistrict-Karmala-Total [(A+B) or (C+D)],SubDistrict-Karmala-Public [A],SubDistrict-Karmala-Private [B],SubDistrict-Karmala-Urban [C],SubDistrict-Karmala-Rural [D],SubDistrict-Madha-Total [(A+B) or (C+D)],SubDistrict-Madha-Public [A],SubDistrict-Madha-Private [B],SubDistrict-Madha-Urban [C],SubDistrict-Madha-Rural [D],SubDistrict-Malshiras-Total [(A+B) or (C+D)],SubDistrict-Malshiras-Public [A],SubDistrict-Malshiras-Private [B],SubDistrict-Malshiras-Urban [C],SubDistrict-Malshiras-Rural [D],SubDistrict-Mangalvedhe-Total [(A+B) or (C+D)],SubDistrict-Mangalvedhe-Public [A],SubDistrict-Mangalvedhe-Private [B],SubDistrict-Mangalvedhe-Urban [C],SubDistrict-Mangalvedhe-Rural [D],SubDistrict-Mohol-Total [(A+B) or (C+D)],SubDistrict-Mohol-Public [A],SubDistrict-Mohol-Private [B],SubDistrict-Mohol-Urban [C],SubDistrict-Mohol-Rural [D],SubDistrict-Pandharpur-Total [(A+B) or (C+D)],SubDistrict-Pandharpur-Public [A],SubDistrict-Pandharpur-Private [B],SubDistrict-Pandharpur-Urban [C],SubDistrict-Pandharpur-Rural [D],SubDistrict-Sangole-Total [(A+B) or (C+D)],SubDistrict-Sangole-Public [A],SubDistrict-Sangole-Private [B],SubDistrict-Sangole-Urban [C],SubDistrict-Sangole-Rural [D],SubDistrict-Solapur North-Total [(A+B) or (C+D)],SubDistrict-Solapur North-Public [A],SubDistrict-Solapur North-Private [B],SubDistrict-Solapur North-Urban [C],SubDistrict-Solapur North-Rural [D],SubDistrict-Solapur South-Total [(A+B) or (C+D)],SubDistrict-Solapur South-Public [A],SubDistrict-Solapur South-Private [B],SubDistrict-Solapur South-Urban [C],SubDistrict-Solapur South-Rural [D],SubDistrict-Solapur Urban-Total [(A+B) or (C+D)],SubDistrict-Solapur Urban-Public [A],SubDistrict-Solapur Urban-Private [B],SubDistrict-Solapur Urban-Urban [C],SubDistrict-Solapur Urban-Rural [D]
M1 [Ante Natal Care (ANC)],1.1,Total number of pregnant women registered for ANC,TOTAL,7343,7343,0,2082,5261,606,606,NA,68,538,566,566,NA,138,428,421,421,NA,39,382,513,513,NA,16,497,774,774,NA,NA,774,383,383,NA,54,329,523,523,NA,NA,523,878,878,NA,230,648,526,526,NA,28,498,186,186,0,NA,186,458,458,NA,NA,458,1509,1509,NA,1509,NA
M1 [Ante Natal Care (ANC)],1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,5228,5228,0,912,4316,494,494,NA,38,456,460,460,NA,70,390,299,299,NA,7,292,426,426,NA,6,420,656,656,NA,NA,656,268,268,NA,18,250,399,399,NA,NA,399,625,625,NA,90,535,387,387,NA,9,378,167,167,0,NA,167,373,373,NA,NA,373,674,674,NA,674,NA
M1 [Ante Natal Care (ANC)],1.2.1,Number of PW given TT1,TOTAL,5118,5028,90,1588,3530,371,371,NA,38,333,421,421,NA,89,332,288,288,NA,15,273,420,420,NA,16,404,521,521,NA,NA,521,226,226,NA,31,195,324,324,NA,NA,324,460,460,NA,59,401,332,332,NA,20,312,195,105,90,NA,195,240,240,NA,NA,240,1320,1320,NA,1320,NA
M1 [Ante Natal Care (ANC)],1.2.2,Number of PW given TT2,TOTAL,4191,4129,62,1410,2781,241,241,NA,32,209,307,307,NA,60,247,218,218,NA,5,213,381,381,NA,8,373,439,439,NA,NA,439,138,138,NA,8,130,246,246,NA,NA,246,351,351,NA,55,296,267,267,NA,10,257,149,87,62,NA,149,222,222,NA,NA,222,1232,1232,NA,1232,NA
M1 [Ante Natal Care (ANC)],1.2.3,Number of PW given TT Booster,TOTAL,2105,2074,31,257,1848,227,227,NA,28,199,148,148,NA,28,120,106,106,NA,7,99,127,127,NA,6,121,321,321,NA,NA,321,91,91,NA,5,86,183,183,NA,NA,183,285,285,NA,45,240,194,194,NA,4,190,101,70,31,NA,101,188,188,NA,NA,188,134,134,NA,134,NA
M1 [Ante Natal Care (ANC)],1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,5414,5298,116,1178,4236,600,600,NA,68,532,459,459,NA,112,347,248,248,NA,4,244,318,318,NA,16,302,688,688,NA,NA,688,341,341,NA,40,301,436,436,NA,NA,436,635,635,NA,201,434,410,410,NA,28,382,250,134,116,NA,250,320,320,NA,NA,320,709,709,NA,709,NA
M1 [Ante Natal Care (ANC)],1.2.5,Number of PW given 360 Calcium tablets,TOTAL,3485,3369,116,555,2930,593,593,NA,68,525,222,222,NA,112,110,218,218,NA,5,213,207,207,NA,16,191,435,435,NA,NA,435,127,127,NA,40,87,234,234,NA,NA,234,668,668,NA,201,467,210,210,NA,28,182,234,118,116,NA,234,252,252,NA,NA,252,85,85,NA,85,NA
M1 [Ante Natal Care (ANC)],1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,1613,1613,0,51,1562,248,248,NA,32,216,76,76,NA,0,76,25,25,NA,0,25,18,18,NA,0,18,342,342,NA,NA,342,178,178,NA,0,178,183,183,NA,NA,183,192,192,NA,0,192,182,182,NA,9,173,32,32,0,NA,32,127,127,NA,NA,127,10,10,NA,10,NA
M1 [Ante Natal Care (ANC)],1.2.7,Number of PW received 4 or more ANC check ups,TOTAL,5787,5607,180,1232,4555,572,572,NA,52,520,431,431,NA,88,343,252,252,NA,2,250,485,485,NA,8,477,722,722,NA,NA,722,307,307,NA,15,292,368,368,NA,NA,368,533,533,NA,52,481,404,404,NA,35,369,329,149,180,NA,329,404,404,NA,NA,404,980,980,NA,980,NA
M1 [Ante Natal Care (ANC)],1.2.8,Number of PW given ANC Corticosteroids in Pre Term Labour,TOTAL,35,33,2,2,33,2,2,NA,2,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,27,27,NA,NA,27,4,4,NA,0,4,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,2,0,2,NA,2,0,0,NA,NA,0,0,0,NA,0,NA
