Indicator,S.No.,Parameters,Type,SubDistrict-_Solapur-Total [(A+B) or (C+D)],SubDistrict-_Solapur-Public [A],SubDistrict-_Solapur-Private [B],SubDistrict-_Solapur-Urban [C],SubDistrict-_Solapur-Rural [D],SubDistrict-Akkalkot-Total [(A+B) or (C+D)],SubDistrict-Akkalkot-Public [A],SubDistrict-Akkalkot-Private [B],SubDistrict-Akkalkot-Urban [C],SubDistrict-Akkalkot-Rural [D],SubDistrict-Barshi-Total [(A+B) or (C+D)],SubDistrict-Barshi-Public [A],SubDistrict-Barshi-Private [B],SubDistrict-Barshi-Urban [C],SubDistrict-Barshi-Rural [D],SubDistrict-Karmala-Total [(A+B) or (C+D)],SubDistrict-Karmala-Public [A],SubDistrict-Karmala-Private [B],SubDistrict-Karmala-Urban [C],SubDistrict-Karmala-Rural [D],SubDistrict-Madha-Total [(A+B) or (C+D)],SubDistrict-Madha-Public [A],SubDistrict-Madha-Private [B],SubDistrict-Madha-Urban [C],SubDistrict-Madha-Rural [D],SubDistrict-Malshiras-Total [(A+B) or (C+D)],SubDistrict-Malshiras-Public [A],SubDistrict-Malshiras-Private [B],SubDistrict-Malshiras-Urban [C],SubDistrict-Malshiras-Rural [D],SubDistrict-Mangalvedhe-Total [(A+B) or (C+D)],SubDistrict-Mangalvedhe-Public [A],SubDistrict-Mangalvedhe-Private [B],SubDistrict-Mangalvedhe-Urban [C],SubDistrict-Mangalvedhe-Rural [D],SubDistrict-Mohol-Total [(A+B) or (C+D)],SubDistrict-Mohol-Public [A],SubDistrict-Mohol-Private [B],SubDistrict-Mohol-Urban [C],SubDistrict-Mohol-Rural [D],SubDistrict-Pandharpur-Total [(A+B) or (C+D)],SubDistrict-Pandharpur-Public [A],SubDistrict-Pandharpur-Private [B],SubDistrict-Pandharpur-Urban [C],SubDistrict-Pandharpur-Rural [D],SubDistrict-Sangole-Total [(A+B) or (C+D)],SubDistrict-Sangole-Public [A],SubDistrict-Sangole-Private [B],SubDistrict-Sangole-Urban [C],SubDistrict-Sangole-Rural [D],SubDistrict-Solapur North-Total [(A+B) or (C+D)],SubDistrict-Solapur North-Public [A],SubDistrict-Solapur North-Private [B],SubDistrict-Solapur North-Urban [C],SubDistrict-Solapur North-Rural [D],SubDistrict-Solapur South-Total [(A+B) or (C+D)],SubDistrict-Solapur South-Public [A],SubDistrict-Solapur South-Private [B],SubDistrict-Solapur South-Urban [C],SubDistrict-Solapur South-Rural [D],SubDistrict-Solapur Urban-Total [(A+B) or (C+D)],SubDistrict-Solapur Urban-Public [A],SubDistrict-Solapur Urban-Private [B],SubDistrict-Solapur Urban-Urban [C],SubDistrict-Solapur Urban-Rural [D]
M1 [Ante Natal Care (ANC)],1.1,Total number of pregnant women registered for ANC,TOTAL,6795,6795,0,2086,4709,502,502,NA,64,438,543,543,NA,132,411,352,352,NA,36,316,504,504,NA,21,483,706,706,NA,NA,706,332,332,NA,46,286,434,434,NA,NA,434,786,786,NA,214,572,476,476,NA,21,455,177,177,0,NA,177,431,431,NA,NA,431,1552,1552,NA,1552,NA
M1 [Ante Natal Care (ANC)],1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,4602,4602,0,741,3861,398,398,NA,35,363,470,470,NA,99,371,228,228,NA,7,221,421,421,NA,8,413,569,569,NA,NA,569,243,243,NA,18,225,319,319,NA,NA,319,495,495,NA,18,477,351,351,NA,6,345,155,155,0,NA,155,403,403,NA,NA,403,550,550,NA,550,NA
M1 [Ante Natal Care (ANC)],1.2.1,Number of PW given TT1,TOTAL,4755,4643,112,1490,3265,325,325,NA,48,277,402,402,NA,84,318,238,238,NA,10,228,417,417,NA,19,398,526,526,NA,NA,526,195,195,NA,15,180,255,255,NA,NA,255,408,408,NA,56,352,294,294,NA,10,284,207,95,112,NA,207,240,240,NA,NA,240,1248,1248,NA,1248,NA
M1 [Ante Natal Care (ANC)],1.2.2,Number of PW given TT2,TOTAL,3992,3882,110,1145,2847,171,171,NA,46,125,303,303,NA,43,260,238,238,NA,9,229,362,362,NA,9,353,436,436,NA,NA,436,176,176,NA,7,169,236,236,NA,NA,236,362,362,NA,35,327,248,248,NA,4,244,230,120,110,NA,230,238,238,NA,NA,238,992,992,NA,992,NA
M1 [Ante Natal Care (ANC)],1.2.3,Number of PW given TT Booster,TOTAL,2112,2089,23,231,1881,184,184,NA,16,168,151,151,NA,32,119,107,107,NA,6,101,117,117,NA,6,111,307,307,NA,NA,307,100,100,NA,10,90,168,168,NA,NA,168,297,297,NA,31,266,193,193,NA,4,189,104,81,23,NA,104,258,258,NA,NA,258,126,126,NA,126,NA
M1 [Ante Natal Care (ANC)],1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,4864,4779,85,914,3950,497,497,NA,64,433,459,459,NA,75,384,213,213,NA,11,202,361,361,NA,21,340,657,657,NA,NA,657,240,240,NA,18,222,325,325,NA,NA,325,675,675,NA,214,461,369,369,NA,25,344,232,147,85,NA,232,350,350,NA,NA,350,486,486,NA,486,NA
M1 [Ante Natal Care (ANC)],1.2.5,Number of PW given 360 Calcium tablets,TOTAL,3782,3497,285,505,3277,497,497,NA,64,433,320,320,NA,132,188,225,225,NA,9,216,245,245,NA,21,224,512,512,NA,NA,512,173,173,NA,18,155,183,183,NA,NA,183,638,638,NA,214,424,279,279,NA,25,254,422,137,285,NA,422,266,266,NA,NA,266,22,22,NA,22,NA
M1 [Ante Natal Care (ANC)],1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,1584,1566,18,88,1496,265,265,NA,35,230,63,63,NA,0,63,73,73,NA,6,67,6,6,NA,0,6,332,332,NA,NA,332,140,140,NA,0,140,144,144,NA,NA,144,184,184,NA,0,184,108,108,NA,0,108,78,60,18,NA,78,144,144,NA,NA,144,47,47,NA,47,NA
M1 [Ante Natal Care (ANC)],1.2.7,Number of PW received 4 or more ANC check ups,TOTAL,6233,5809,424,1229,5004,483,483,NA,52,431,569,569,NA,157,412,364,364,NA,2,362,409,409,NA,9,400,811,811,NA,NA,811,265,265,NA,5,260,444,444,NA,NA,444,621,621,NA,53,568,416,416,NA,23,393,586,162,424,NA,586,337,337,NA,NA,337,928,928,NA,928,NA
M1 [Ante Natal Care (ANC)],1.2.8,Number of PW given ANC Corticosteroids in Pre Term Labour,TOTAL,64,55,9,6,58,2,2,NA,2,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,49,49,NA,NA,49,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,4,4,NA,4,0,9,0,9,NA,9,0,0,NA,NA,0,0,0,NA,0,NA
