Indicator,S.No.,Parameters,Type,SubDistrict-_Solapur-Total [(A+B) or (C+D)],SubDistrict-_Solapur-Public [A],SubDistrict-_Solapur-Private [B],SubDistrict-_Solapur-Urban [C],SubDistrict-_Solapur-Rural [D],SubDistrict-Akkalkot-Total [(A+B) or (C+D)],SubDistrict-Akkalkot-Public [A],SubDistrict-Akkalkot-Private [B],SubDistrict-Akkalkot-Urban [C],SubDistrict-Akkalkot-Rural [D],SubDistrict-Barshi-Total [(A+B) or (C+D)],SubDistrict-Barshi-Public [A],SubDistrict-Barshi-Private [B],SubDistrict-Barshi-Urban [C],SubDistrict-Barshi-Rural [D],SubDistrict-Karmala-Total [(A+B) or (C+D)],SubDistrict-Karmala-Public [A],SubDistrict-Karmala-Private [B],SubDistrict-Karmala-Urban [C],SubDistrict-Karmala-Rural [D],SubDistrict-Madha-Total [(A+B) or (C+D)],SubDistrict-Madha-Public [A],SubDistrict-Madha-Private [B],SubDistrict-Madha-Urban [C],SubDistrict-Madha-Rural [D],SubDistrict-Malshiras-Total [(A+B) or (C+D)],SubDistrict-Malshiras-Public [A],SubDistrict-Malshiras-Private [B],SubDistrict-Malshiras-Urban [C],SubDistrict-Malshiras-Rural [D],SubDistrict-Mangalvedhe-Total [(A+B) or (C+D)],SubDistrict-Mangalvedhe-Public [A],SubDistrict-Mangalvedhe-Private [B],SubDistrict-Mangalvedhe-Urban [C],SubDistrict-Mangalvedhe-Rural [D],SubDistrict-Mohol-Total [(A+B) or (C+D)],SubDistrict-Mohol-Public [A],SubDistrict-Mohol-Private [B],SubDistrict-Mohol-Urban [C],SubDistrict-Mohol-Rural [D],SubDistrict-Pandharpur-Total [(A+B) or (C+D)],SubDistrict-Pandharpur-Public [A],SubDistrict-Pandharpur-Private [B],SubDistrict-Pandharpur-Urban [C],SubDistrict-Pandharpur-Rural [D],SubDistrict-Sangole-Total [(A+B) or (C+D)],SubDistrict-Sangole-Public [A],SubDistrict-Sangole-Private [B],SubDistrict-Sangole-Urban [C],SubDistrict-Sangole-Rural [D],SubDistrict-Solapur North-Total [(A+B) or (C+D)],SubDistrict-Solapur North-Public [A],SubDistrict-Solapur North-Private [B],SubDistrict-Solapur North-Urban [C],SubDistrict-Solapur North-Rural [D],SubDistrict-Solapur South-Total [(A+B) or (C+D)],SubDistrict-Solapur South-Public [A],SubDistrict-Solapur South-Private [B],SubDistrict-Solapur South-Urban [C],SubDistrict-Solapur South-Rural [D],SubDistrict-Solapur Urban-Total [(A+B) or (C+D)],SubDistrict-Solapur Urban-Public [A],SubDistrict-Solapur Urban-Private [B],SubDistrict-Solapur Urban-Urban [C],SubDistrict-Solapur Urban-Rural [D]
M1 [Ante Natal Care (ANC)],1.1,Total number of pregnant women registered for ANC,TOTAL,6928,6928,0,2089,4839,572,572,NA,66,506,507,507,NA,134,373,356,356,NA,43,313,539,539,NA,19,520,715,715,NA,NA,715,326,326,NA,49,277,485,485,NA,NA,485,825,825,NA,235,590,446,446,NA,12,434,183,183,0,NA,183,443,443,NA,NA,443,1531,1531,NA,1531,NA
M1 [Ante Natal Care (ANC)],1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,4580,4580,0,760,3820,436,436,NA,35,401,425,425,NA,105,320,236,236,NA,8,228,432,432,NA,4,428,611,611,NA,NA,611,208,208,NA,17,191,341,341,NA,NA,341,497,497,NA,40,457,329,329,NA,9,320,152,152,0,NA,152,371,371,NA,NA,371,542,542,NA,542,NA
M1 [Ante Natal Care (ANC)],1.2.1,Number of PW given TT1,TOTAL,4776,4707,69,1528,3248,331,331,NA,48,283,384,384,NA,91,293,263,263,NA,11,252,434,434,NA,19,415,487,487,NA,NA,487,203,203,NA,21,182,312,312,NA,NA,312,407,407,NA,71,336,262,262,NA,4,258,176,107,69,NA,176,254,254,NA,NA,254,1263,1263,NA,1263,NA
M1 [Ante Natal Care (ANC)],1.2.2,Number of PW given TT2,TOTAL,3894,3834,60,1247,2647,193,193,NA,34,159,328,328,NA,71,257,192,192,NA,6,186,350,350,NA,6,344,392,392,NA,NA,392,182,182,NA,9,173,241,241,NA,NA,241,371,371,NA,51,320,235,235,NA,10,225,154,94,60,NA,154,196,196,NA,NA,196,1060,1060,NA,1060,NA
M1 [Ante Natal Care (ANC)],1.2.3,Number of PW given TT Booster,TOTAL,2079,2050,29,159,1920,248,248,NA,26,222,145,145,NA,31,114,92,92,NA,5,87,135,135,NA,9,126,318,318,NA,NA,318,142,142,NA,8,134,169,169,NA,NA,169,302,302,NA,23,279,178,178,NA,3,175,103,74,29,NA,103,193,193,NA,NA,193,54,54,NA,54,NA
M1 [Ante Natal Care (ANC)],1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,4907,4899,8,966,3941,572,572,NA,66,506,434,434,NA,130,304,192,192,NA,8,184,413,413,NA,19,394,665,665,NA,NA,665,286,286,NA,17,269,373,373,NA,NA,373,663,663,NA,195,468,313,313,NA,12,301,147,139,8,NA,147,330,330,NA,NA,330,519,519,NA,519,NA
M1 [Ante Natal Care (ANC)],1.2.5,Number of PW given 360 Calcium tablets,TOTAL,3215,3207,8,385,2830,506,506,NA,0,506,251,251,NA,130,121,199,199,NA,5,194,301,301,NA,19,282,468,468,NA,NA,468,156,156,NA,17,139,164,164,NA,NA,164,610,610,NA,195,415,234,234,NA,0,234,104,96,8,NA,104,203,203,NA,NA,203,19,19,NA,19,NA
M1 [Ante Natal Care (ANC)],1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,1678,1678,0,64,1614,241,241,NA,0,241,105,105,NA,0,105,84,84,NA,10,74,31,31,NA,0,31,368,368,NA,NA,368,110,110,NA,0,110,128,128,NA,NA,128,249,249,NA,0,249,135,135,NA,0,135,34,34,0,NA,34,139,139,NA,NA,139,54,54,NA,54,NA
M1 [Ante Natal Care (ANC)],1.2.7,Number of PW received 4 or more ANC check ups,TOTAL,5556,5396,160,1124,4432,506,506,NA,0,506,451,451,NA,89,362,335,335,NA,3,332,481,481,NA,6,475,725,725,NA,NA,725,252,252,NA,4,248,406,406,NA,NA,406,494,494,NA,63,431,359,359,NA,27,332,310,150,160,NA,310,305,305,NA,NA,305,932,932,NA,932,NA
M1 [Ante Natal Care (ANC)],1.2.8,Number of PW given ANC Corticosteroids in Pre Term Labour,TOTAL,36,36,0,0,36,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,36,36,NA,NA,36,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
